Region,District,Subcounty,Service outlet,Tracker HF ID,KP Tracker /HIBRID Mechanism name,DATIM ID,DATIM Subcounty ID,DATIM Subcounty Name,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Period,"HIV_Prev_Numerator: 
Overall Total","HIV_Prev.1_ 10-14 Years, Female","HIV_Prev.2_ 10-14 Years, Male","HIV_Prev.3_ (15 - 19) Years, Female","HIV_Prev.4_ (15 - 19) Years, Male","HIV_Prev.5_ 20-24 Years, Female","HIV_Prev.6_ 20-24 Years, Male","HIV_Prev.7_ 25-29 Years, Female","HIV_Prev.8_ 25-29 Years, Male","HIV_Prev.9_ 30-34 Years, Female","HIV_Prev.10_ 30-34 Years, Male","HIV_Prev.11_ (35 - 39) Years, Female","HIV_Prev.12_ (35 - 39) Years, Male","HIV_Prev.13_ 40-44 Years, Female","HIV_Prev.14_ 40-44 Years, Male","HIV_Prev.15_45-49 Yrears, Female","HIV_Prev.16_45-49 Yrears, Male","HIV_Prev.17_ 50+ Years, Female","HIV_Prev.18_ 50+ Years, Male",HIV_Prev.19_PP_PREV HTS services: Overall Total,HIV_Prev.20_Known HIV Positive,HIV_Prev.21_Newly tested and/or referred for testing,HIV_Prev.22_Declined testing and/or referral,HIV_Prev.23_Test not required based on risk assessment,PP_PREV_Displaced Persons,PP_PREV.1_Clients of  Sex Workers,PP_PREV.2_Military and other Uniform Services,PP_PREV.3_Mobile Populations,PP_PREV.4_Fishing communities,PP_PREV.5_Non-injecting drug users,PP_PREV.6_Any Other Priority Population,PP_PREV2_Adolescents (10-24),PP_PREV3_Displaced Persons,PP_PREV4_Discordant Couples,PP_PREV5_Clients of  Sex Workers,PP_PREV6_Military and other Uniform Services,PP_PREV7_Mobile Populations,PP_PREV8_Truck Drivers,PP_PREV9_Fishing communities,PP_PREV10_Non-injecting drug users,PP_PREV11_Any Other Priority Population,HIV_test_Adolescents (10-24),HIV_test.1_Displaced Persons,HIV_test.2_Discordant Couples,HIV_test.3_Clients of  Sex Workers,HIV_test.4_Military and other Uniform Services,HIV_test.5_Mobile Populations,HIV_test.6_Truck Drivers,HIV_test.7_Fishing communities,HIV_test.8_Non-injecting drug users,HIV_test.9_Any Other Priority Population,HIV_pos_test_Adolescents (10-24),HIV_pos_test.1_Displaced Persons,HIV_pos_test.2_Discordant Couples,HIV_pos_test.3_Clients of  Sex Workers,HIV_pos_test.4_Military and other Uniform Services,HIV_pos_test.5_Mobile Populations,HIV_pos_test.6_Truck Drivers,HIV_pos_test.7_Fishing communities,HIV_pos_test.8_Non-injecting drug users,HIV_pos_test.9_Any Other Priority Population,New_ART_Adolescents (10-24),New_ART.1_Displaced Persons,New_ART.2_Discordant Couples,New_ART.3_Clients of  Sex Workers,New_ART.4_Military and other Uniform Services,New_ART.5_Mobile Populations,New_ART.6_Truck Drivers,New_ART.7_Fishing communities,New_ART.8_Non-injecting drug users,New_ART.9_Any Other Priority Population,PP_ART_Adolescents (10-24),PP_ART.1_Displaced Persons,PP_ART.2_Discordant Couples,PP_ART.3_Clients of  Sex Workers,PP_ART.4_Military and other Uniform Services,PP_ART.5_Mobile Populations,PP_ART.6_Truck Drivers,PP_ART.7_Fishing communities,PP_ART.8_Non-injecting drug users,PP_ART.9_Any Other Priority Population,VL eligible_Adolescents (10-24),VL eligible.1_Displaced Persons,VL eligible.2_Discordant Couples,VL eligible.3_Clients of  Sex Workers,VL eligible.4_Military and other Uniform Services,VL eligible.5_Mobile Populations,VL eligible.6_Truck Drivers,VL eligible.7_Fishing communities,VL eligible.8_Non-injecting drug users,VL eligible.9_Any Other Priority Population,VL_lab_doc_Adolescents (10-24),VL_lab_doc.1_Displaced Persons,VL_lab_doc.2_Discordant Couples,VL_lab_doc.3_Clients of  Sex Workers,VL_lab_doc.4_Military and other Uniform Services,VL_lab_doc.5_Mobile Populations,VL_lab_doc.6_Truck Drivers,VL_lab_doc.7_Fishing communities,VL_lab_doc.8_Non-injecting drug users,VL_lab_doc.9_Any Other Priority Population,VL_supp_Adolescents (10-24),VL_supp.1_Displaced Persons,VL_supp.2_Discordant Couples,VL_supp.3_Clients of  Sex Workers,VL_supp.4_Military and other Uniform Services,VL_supp.5_Mobile Populations,VL_supp.6_Truck Drivers,VL_supp.7_Fishing communities,VL_supp.8_Non-injecting drug users,VL_supp.9_Any Other Priority Population,summary_PP_PREV,summary.1_HTS_TST,summary.2_Known HIV Positive,summary.3_Newly tested and/or referred for testing,summary.4_Declined testing and/or referral,summary.5_Test not required based on risk assessment,summary.6_HTS_TST (Newly tested),summary.7_HTS_TST_POS,summary.8_TX_NEW,summary.9_TX_CURR,summary.10_VL eligible,summary.11_VL tested,summary.12_VL suppressed,summary.13_nan,PP_PREV2,subcounty_PP_PREV_total,pp_known_pos_subcounty,pct_pp_prev_pop_subcounty,pct_pp_pos_pop_subcounty,usaid,cdc,dod,subcounty_pop_adjusted
Bugisu,Mbale District,Busiu Town Council,Busiu HC IV,zeEOtz7XwxV,0,RDOJurt1tky,VFEPGnxrRZy,Busiu Town Council,zeEOtz7XwxV,Mbale District,Busiu Town Council,Busiu HC IV,Baylor_Eastern Region,82001,USAID,FY2024Q4,412,0,0,19,6,36,18,1,41,1,63,3,53,2,55,2,25,2,85,0,27,423,0,0,0,196,10,97,2,86,55,28,0,10,196,10,72,25,2,86,17,23,0,9,194,7,61,24,2,86,17,0,0,0,3,0,2,0,0,1,1,0,0,0,3,0,2,0,0,1,1,3,0,1,4,3,10,0,0,1,0,5,0,1,2,3,0,1,0,0,0,5,0,1,2,3,10,1,0,0,0,5,0,1,1,3,10,1,0,0,0,412,450,27.0,423,0,0,423,7,7,22,12,22,21,False,446,446,27,1.0,1.0,1,0,0,2040.43
Busoga,Iganga District,Nakigo Subcounty,Busowobi HC III,fqWdsy0CuFR,0,L4LPCJf61xH,KN1XSsR4rUp,Nakigo Subcounty,fqWdsy0CuFR,Iganga District,Nakigo Subcounty,Busowobi HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,177,0,0,7,22,11,19,11,27,13,20,10,13,8,9,0,6,0,1,0,0,183,0,0,0,1,5,90,10,2,75,28,0,1,1,5,79,11,10,2,46,28,0,1,1,5,78,11,10,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,183,0.0,183,0,0,182,0,0,0,0,0,0,False,183,183,0,1.0,,1,0,0,40457.37
Kampala,Kampala District,Nakawa Division,Butabika National Referral Hospital,KssVUerFkyV,0,WByUZgx5FWB,qYsuny8iNsQ,Nakawa Division,KssVUerFkyV,Kampala District,Nakawa Division,Butabika National Referral Hospital,ROM_Kampala Region,87040,CDC,FY2024Q4,126,0,0,6,7,36,9,1,20,1,17,1,8,0,12,0,3,0,5,0,10,117,0,0,0,3,14,51,46,0,12,11,0,0,3,14,50,1,46,0,1,6,0,0,3,14,48,0,46,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,4,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,126,127,10.0,117,0,0,117,10,10,11,4,3,3,True,126,2362,862,0.0533446232006773,0.0116009280742459,0,1,0,653067.38
Bukedi,Busia District,Buteba Subcounty,Buteba HC III,aJgUSQQuIsM,0,TR6A0ulAqA4,BZp9ZsB18QB,Buteba Subcounty,aJgUSQQuIsM,Busia District,Buteba Subcounty,Buteba HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,"2,201",3,1,54,333,175,188,116,355,86,281,50,227,28,139,20,73,8,64,0,23,2242,0,0,0,703,78,553,221,118,562,507,0,1,703,78,302,251,221,118,54,511,0,1,697,80,301,252,219,120,52,6,0,0,10,0,7,1,1,0,0,6,0,0,10,0,7,1,1,0,0,5,0,0,10,0,8,1,2,0,2,1,0,0,5,0,1,0,1,0,2,1,0,0,5,0,1,0,1,0,2,0,0,0,5,0,1,0,1,0,2,"2,201","2,265",23.0,"2,242",0,0,"2,233",25,25,28,10,10,9,False,2235,2235,23,1.0,1.0,1,0,0,28366.2
Bunyoro,Hoima District,Buhanika Subcounty,Butema HC III,VyKflstsoTt,0,JYwplZ7bq2f,eAt3HeFlGrZ,Buhanika Subcounty,VyKflstsoTt,Hoima District,Buhanika Subcounty,Butema HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,176,0,0,8,8,18,12,9,38,4,26,4,23,3,11,2,4,0,6,0,35,94,0,23,0,143,0,6,0,0,27,3,0,20,143,0,5,1,0,0,4,1,0,1,93,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8,5,0,1,1,0,0,0,0,0,18,7,0,0,1,0,0,3,0,0,18,7,0,3,1,0,0,3,0,0,18,7,0,3,1,0,0,2,176,152,35.0,94,0,23,95,4,4,15,29,32,31,True,176,176,35,1.0,1.0,0,1,0,14597.16
North Central,Kyankwanzi District,Butemba Town Council,Butemba HC III,JHtjwrjBlm4,0,R2Cdrrj3ifu,yVEQk8PAoSA,Butemba Town Council,JHtjwrjBlm4,Kyankwanzi District,Butemba Town Council,Butemba HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,185,0,0,3,17,14,18,9,22,4,23,4,22,3,19,3,5,2,17,0,24,160,0,0,0,97,1,11,0,0,76,13,0,31,97,1,11,0,0,0,32,12,0,30,81,0,9,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,0,0,3,1,0,0,16,1,0,0,0,0,2,1,0,0,16,1,2,0,0,0,2,1,0,0,16,1,2,0,0,0,2,185,184,24.0,160,0,0,160,0,0,21,20,22,22,True,185,185,24,1.0,1.0,0,1,0,29552.76
South Central,Bukomansimbi District,Butenga Subcounty,Butenga HC IV,gBVBGJ2p9b3,0,PTMmY6oz61Q,icb6bhJZm7s,Butenga Subcounty,gBVBGJ2p9b3,Bukomansimbi District,Butenga Town Council,Butenga HC IV,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,225,0,0,5,33,6,19,0,19,7,20,18,15,12,13,11,14,7,26,0,6,225,0,0,0,44,0,29,0,0,151,50,0,99,44,0,28,1,0,0,2,50,0,99,44,0,28,1,0,0,2,4,0,1,1,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,231,6.0,225,0,0,224,7,7,6,0,0,0,False,224,373,6,0.6005361930294906,1.0,0,1,0,79217.3
Tooro,Kyenjojo District,Butiiti Town Council,Butiiti HC III,XRMXI2fhgoK,0,WdYtSJZSKlc,zztG2vdBmIk,Butiiti Town Council,XRMXI2fhgoK,Kyenjojo District,Butiiti Town Council,Butiiti HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,209,0,0,7,39,19,43,6,39,5,30,3,13,0,4,0,0,0,1,0,10,200,0,0,0,94,0,14,0,0,101,77,0,20,94,0,13,1,0,0,4,75,0,20,91,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,209,210,10.0,200,0,0,200,2,2,11,1,1,1,True,209,209,10,1.0,1.0,0,1,0,19420.65
South Central,Mpigi District,Kammengo Subcounty,Butoolo HC III,Co0DLFVgmGz,0,HjmqulZFuHE,dZMOhf05X77,Kammengo Subcounty,Co0DLFVgmGz,Mpigi District,Kammengo Subcounty,Butoolo HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,178,0,0,6,7,38,8,2,30,5,22,1,16,3,19,0,6,1,14,0,3,174,4,0,0,127,0,7,1,7,36,9,0,23,127,0,7,0,1,7,4,9,0,21,125,0,7,0,1,7,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,178,181,3.0,174,4,0,174,2,2,4,2,2,2,True,178,178,3,1.0,1.0,0,1,0,80181.38
Tooro,Kyenjojo District,Butunduuzi Town Council,Butunduzi HC III,sLg8XDLt89n,0,Yd8Gw88GkRG,f5e35VytZOZ,Butunduzi Town Council,sLg8XDLt89n,Kyenjojo District,Butunduzi Town Council,Butunduzi HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,95,0,0,1,4,13,1,4,26,1,26,1,8,0,3,0,5,0,2,0,2,93,0,0,0,87,0,1,0,0,7,4,0,2,87,0,1,0,0,0,1,4,0,2,85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,2.0,93,0,0,93,0,0,2,0,0,0,True,95,264,2,0.3598484848484848,1.0,0,1,0,
North Central,Luwero District,Butuntumula Subcounty,Butuntumula  Prison HC II,lIIOj56WBOF,0,dLwXEHHuSef,SL71cpOQatR,Butuntumula Subcounty,lIIOj56WBOF,Luwero District,Butuntumula Subcounty,Butuntumula Prison HC II,UPS,84974,CDC,FY2024Q4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,1,0,0,0,True,1,207,2,0.0048309178743961,0.5,0,1,0,72746.84
North Central,Luwero District,Butuntumula Subcounty,Butuntumula HC III,NGteaaEKAMh,0,qwvr2aWTESO,SL71cpOQatR,Butuntumula Subcounty,NGteaaEKAMh,Luwero District,Butuntumula Subcounty,Butuntumula HC III,WALTER REED_MUWRP,160699,DOD,FY2024Q4,64,0,0,1,15,4,6,2,18,0,8,0,2,1,4,0,1,0,2,0,0,65,0,0,0,38,0,3,0,0,24,19,0,5,38,0,1,2,0,0,0,19,0,5,38,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,0.0,65,0,0,65,0,0,0,0,0,0,False,65,207,2,0.3140096618357488,0.0,0,0,1,72746.84
North Central,Buvuma District,Buvuma Town Council,Buvuma HC IV,ewMHVf7tjwq,0,QQNYltKfmYQ,x1vcYA56MsT,Buvuma Town Council,ewMHVf7tjwq,Buvuma District,Buvuma Town Council,Buvuma HC IV,WALTER REED_MUWRP,160699,DOD,FY2024Q4,886,0,0,91,45,122,35,53,128,39,90,21,55,30,84,15,41,7,30,0,4,725,0,157,0,95,0,0,776,0,15,1,0,14,95,0,0,0,776,0,0,1,0,14,93,0,0,0,617,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,886,886,4.0,725,0,157,725,13,13,14,5,3,3,True,886,886,4,1.0,1.0,0,0,1,20466.1
South Central,Mpigi District,Buwama Town Council,Buwama HC III,Vi3ibjRtMzU,0,Faz1Wonrz3Q,EybQWr0r5TV,Buwama Town Council,Vi3ibjRtMzU,Mpigi District,Buwama Town Council,Buwama HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,396,0,0,8,57,35,18,26,47,25,43,22,31,14,24,5,14,6,21,0,37,372,0,0,1,124,2,37,29,0,204,55,1,129,124,2,36,1,29,0,20,54,1,131,106,2,30,1,29,0,20,3,0,4,4,0,1,1,0,0,1,3,0,4,4,0,1,1,0,0,1,4,0,4,20,0,7,1,0,0,1,1,0,0,8,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,396,409,37.0,372,0,0,374,14,14,37,9,10,8,False,397,397,37,1.0,1.0,0,1,0,52026.33
South Central,Wakiso District,Gombe Division,Buwambo HC IV,aq5a4s4nH5n,0,i2fpoI1tMG5,zRq2j9ftlF5,Gombe Division,aq5a4s4nH5n,Wakiso District,Gombe Division,Buwambo HC IV,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,184,4,0,0,75,1,31,9,6,5,16,2,12,3,7,0,4,1,8,0,169,35,0,0,0,0,3,71,0,0,110,105,0,5,0,3,55,16,0,0,0,29,0,0,0,1,3,2,0,0,0,15,0,0,0,1,3,2,0,0,0,15,0,0,0,1,3,2,0,0,0,72,0,4,0,3,39,15,0,0,0,43,0,3,0,1,0,8,0,0,0,41,0,3,0,1,23,8,0,0,0,34,0,3,0,1,19,6,0,0,0,184,204,169.0,35,0,0,35,21,21,133,55,76,63,True,184,208,193,0.8846153846153846,0.8756476683937824,0,1,0,157876.34
Busoga,Jinja District,Buwenge Town Council,Buwenge HC IV,hYRpOD0ijAo,0,FrVSs6OUkk8,wruslVBOXZw,Buwenge Town Council,hYRpOD0ijAo,Jinja District,Buwenge Town Council,Buwenge HC IV,MJAP_East Central Region,82000,USAID,FY2024Q4,359,1,0,25,42,70,23,8,68,13,34,5,17,3,15,2,16,2,15,0,5,427,0,0,0,268,3,53,2,10,96,60,0,8,268,3,32,21,2,10,28,60,0,8,263,3,32,21,2,10,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,359,432,5.0,427,0,0,427,1,1,3,3,3,3,False,432,475,8,0.9094736842105264,0.625,1,0,0,22789.78
Busoga,Jinja District,Buwenge Town Council,Buwenge Ngo Hospital,n6WNrT4vfWe,0,vHpLg722kBp,wruslVBOXZw,Buwenge Town Council,n6WNrT4vfWe,Jinja District,Buwenge Town Council,Buwenge Ngo Hospital,UPMB_LSD,81995,USAID,FY2024Q4,43,0,0,1,2,3,0,1,8,0,13,1,5,0,3,0,1,1,4,0,3,40,0,0,0,20,0,4,1,0,18,0,0,15,20,0,1,3,1,0,3,0,0,15,20,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,43,43,3.0,40,0,0,40,0,0,2,2,2,1,True,43,475,8,0.0905263157894736,0.375,1,0,0,22789.78
North Central,Buvuma District,Buwooya Subcounty,Buwooya HC II,AIl1p6YgqxA,0,OMWRbhjqO1M,x2EaOSJCycB,Buwooya Subcounty,AIl1p6YgqxA,Buvuma District,Buwooya Subcounty,Buwooya HC III,WALTER REED_MUWRP,160699,DOD,FY2024Q4,317,0,0,30,50,27,23,27,27,25,24,10,13,12,10,4,11,7,17,0,3,103,0,214,0,13,0,0,304,0,0,0,0,0,13,0,0,0,304,0,0,0,0,0,13,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,317,320,3.0,103,0,214,103,1,1,4,6,3,3,True,317,317,3,1.0,1.0,0,0,1,26435.98
South Central,Rakai District,Ddwaniro Subcounty (Rakai District),Buyamba HC III,OQnJUNl390Z,0,qDsWA9rCk0v,JL6ZsugazSu,Ddwaniro Subcounty,OQnJUNl390Z,Rakai District,Ddwaniro Subcounty,Buyamba HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,188,0,0,10,19,28,18,3,29,10,17,6,13,2,14,4,4,3,8,0,7,183,0,0,0,71,0,6,16,0,94,36,0,22,71,0,6,0,16,0,36,36,0,22,72,0,6,0,15,0,32,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,188,190,7.0,183,0,0,183,2,2,3,4,3,3,False,187,187,7,1.0,1.0,0,1,0,
Kigezi,Rukungiri District,Buyanja Town Council,Buyanja HC III,abHQOTY0rmo,0,wxpam0Qca30,XlsC1iuAB51,Buyanja Town Council,abHQOTY0rmo,Rukungiri District,Buyanja Town Council,Buyanja HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,440,0,0,37,71,93,35,13,74,5,42,2,26,4,18,0,7,0,13,0,4,413,0,0,0,327,0,0,0,0,132,69,0,0,327,0,0,0,0,0,63,54,0,0,299,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,440,417,4.0,413,0,0,412,0,0,2,2,1,1,False,459,459,4,1.0,1.0,1,0,0,5181.93
Busoga,Namayingo District,Namayingo Town Council,Buyinja HC IV,NnSbfZjOXJd,0,Mti1hIx3bSK,dtPBEZBMBbk,Namayingo Town Council,NnSbfZjOXJd,Namayingo District,Namayingo Town Council,Buyinja HC IV,MJAP_East Central Region,82000,USAID,FY2024Q4,206,0,0,15,10,35,3,8,39,1,40,1,14,3,12,0,9,3,13,0,2,204,0,0,0,106,1,0,72,0,27,7,0,16,106,1,0,0,72,0,4,7,0,16,105,1,0,0,71,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206,206,2.0,204,0,0,204,1,1,2,1,1,1,True,206,206,2,1.0,1.0,1,0,0,16212.2
North Central,Buvuma District,Bweema Subcounty,Bweema HC II,G6GmMEAZA9r,0,F7v4bqLAFNJ,D6wmFo5jwI6,Bweema Subcounty,G6GmMEAZA9r,Buvuma District,Bweema Subcounty,Bweema HC II,WALTER REED_MUWRP,160699,DOD,FY2024Q4,293,0,0,14,47,24,32,32,23,32,15,16,14,7,11,5,8,4,9,0,6,192,0,94,0,19,0,0,274,0,0,0,0,0,19,0,0,0,274,0,0,0,0,0,13,0,0,0,179,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,293,292,6.0,192,0,94,192,3,3,4,5,3,3,True,293,1155,9,0.2536796536796536,0.6666666666666666,0,0,1,18074.44
South Central,Kalangala District,Bujumba Subcounty,Bwendero HC III,yOzYKPK76Bq,0,DIxyZW24Y4Q,k70GZSS0XP6,Bujumba Subcounty,yOzYKPK76Bq,Kalangala District,Bujumba Subcounty,Bwendero HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,565,0,0,23,12,80,3,5,113,8,88,3,85,3,54,1,46,1,40,0,22,546,0,0,0,4,0,0,535,0,26,4,0,20,4,0,0,0,535,0,2,2,0,20,3,0,0,0,521,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,15,0,0,2,0,0,1,0,15,0,15,0,0,2,0,0,1,0,0,0,14,0,0,2,0,0,1,0,0,0,14,0,0,565,568,22.0,546,0,0,548,7,7,17,33,17,17,True,565,565,22,1.0,1.0,0,1,0,23805.36
Tooro,Kasese District,Lubiriha Town Council,Bwera Hospital,HLeMhK9q6Wm,0,XwCPN2Vpvn7,AlQNduGoWWo,Mpondwe-Lhubiriha Town Council,HLeMhK9q6Wm,Kasese District,Mpondwe-Lhubiriha Town Council,Bwera Hospital,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,410,0,0,7,128,48,69,2,55,2,43,1,20,0,13,0,6,3,13,0,14,364,0,23,0,154,4,32,0,12,206,190,0,11,154,4,1,31,0,12,5,165,0,11,144,4,1,25,0,11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,6,0,1,2,0,0,0,3,0,0,3,0,0,1,0,0,0,3,0,0,3,0,0,1,0,0,0,3,0,0,3,0,0,1,410,401,14.0,364,0,23,362,2,2,13,7,7,7,False,408,1042,65,0.3915547024952015,0.2153846153846154,0,1,0,
South Central,Wakiso District,Bweyogerere Division,Bweyogerere HC III,cmB5Q4tejGP,0,obVAP73Wiwl,d9im0kfd2Wk,Bweyogerere Division,cmB5Q4tejGP,Wakiso District,Bweyogerere Division,Bweyogerere HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,191,5,0,0,73,8,18,6,4,10,21,3,12,1,15,1,9,1,4,0,187,5,0,0,0,1,5,71,3,0,111,90,0,21,1,5,55,16,3,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,54,0,10,0,4,32,9,1,0,0,39,0,5,0,0,1,4,1,0,0,39,0,5,0,0,18,4,1,0,0,38,0,5,0,0,18,4,1,0,0,191,192,187.0,5,0,0,5,4,4,110,50,67,66,True,191,191,187,1.0,1.0,0,1,0,220094.52
Bunyoro,Masindi District,Bwijanga Subcounty,Bwijanga HC IV,ap3Cu39yPkF,0,w2o4JO1Dn15,TlStcpmarVU,Bwijanga Subcounty,ap3Cu39yPkF,Masindi District,Bwijanga Subcounty,Bwijanga HC IV,Baylor_Hoima Region,81977,CDC,FY2024Q4,110,3,0,1,22,9,33,4,10,4,5,2,7,0,4,1,2,1,2,0,28,73,1,11,0,10,1,22,1,0,76,52,0,21,10,1,9,13,1,0,3,32,0,17,9,0,5,8,1,0,1,4,0,0,1,0,2,0,0,0,0,4,0,0,1,0,2,0,0,0,0,10,0,3,1,0,1,0,0,0,1,8,0,3,1,1,0,0,0,0,2,6,0,3,1,1,2,0,0,0,2,6,0,3,1,1,2,0,0,0,2,110,113,28.0,73,1,11,73,7,7,16,15,15,15,True,110,110,28,1.0,1.0,0,1,0,53646.52
