Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Eastern Region,Mid Eastern,GT8CbxGtA7o,Bulambuli District,Lusha Subcounty,Bumwambu Health Centre III,Baylor Eastern Region,82001,USAID,awTDpqiJz9s,GT8CbxGtA7o,Bulambuli District,Lusha Subcounty,Bumwambu Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,269,0,0,1,6,5,4,10,26,23,16,19,35,16,9,5,9,0,0,1,2,8,4,3,0,5,5,8,12,20,10,4,3,0,0,0,0,0,,,2,1,11,0,,,5,4,33,13,,,5,6,128,61
Eastern Region,Mid Eastern,CIVkMjSRVBX,Namisindwa District,Bumwoni Subcounty,Bumwoni Health Centre III,Baylor Eastern Region,82001,USAID,R3BMkW7JiJj,CIVkMjSRVBX,Namisindwa District,Bumwoni Subcounty,Bumwoni Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,168,0,1,1,2,1,6,8,11,13,17,20,13,15,10,3,16,0,0,0,1,0,1,0,0,6,3,3,7,3,2,2,3,0,0,0,0,0,,,5,0,41,12,,,0,1,37,5,,,0,0,54,13
Eastern Region,Mid Eastern,a3qhORZNhaG,Sironko District,Legenya Subcounty,Bunagami Health Centre III,Baylor Eastern Region,82001,USAID,sm1EJDPTwA8,a3qhORZNhaG,Sironko District,Legenya Subcounty,Bunagami Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,71,0,0,0,0,2,0,6,7,9,6,8,4,2,1,1,2,0,0,1,1,0,1,1,3,4,3,2,2,3,1,0,1,0,0,0,0,0,,,0,0,0,1,,,1,1,5,2,,,1,1,41,18
Eastern Region,Mid Eastern,aW4S9Y3XhuV,Namisindwa District,Tsekululu Subcounty,Bunambale Health Centre III,Baylor Eastern Region,82001,USAID,#N/A,aW4S9Y3XhuV,Namisindwa District,Tsekululu Subcounty,Bunambale Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,129,0,1,0,2,3,2,12,10,13,10,14,6,10,6,4,3,0,0,1,1,0,0,0,1,2,9,6,3,5,1,2,2,0,0,0,0,0,,,1,1,10,4,,,5,1,24,4,,,0,0,56,23
Eastern Region,Mid Eastern,TwZ0KmmR1od,Bulambuli District,Bunambutye Subcounty,Bunambutye Health Centre III,Baylor Eastern Region,82001,USAID,MBnzRSe8Whk,TwZ0KmmR1od,Bulambuli District,Bunambutye Subcounty,Bunambutye Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,200,0,0,1,3,3,3,4,21,16,20,19,14,20,9,6,7,0,0,0,0,1,3,1,3,5,7,5,7,9,2,4,7,0,0,0,0,0,,,1,0,13,0,,,6,1,120,47,,,0,0,6,6
Central Region,Central 1,E4I0kczftmi,Wakiso District,Bunamwaya Division,Bunamwaya Health Centre II,IDI Masaka Wakiso Region,87029,CDC,YejbQyDniUZ,E4I0kczftmi,Wakiso District,Bunamwaya Division,Bunamwaya Health Centre II,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,32,0,0,0,0,0,0,5,6,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,,,0,0,8,1,,,0,0,15,7,,,0,0,1,0
Eastern Region,Mid Eastern,Lm5ZpEDH78a,Mbale District,Bungokho Subcounty,Bunapongo Health Centre III,Baylor Eastern Region,82001,USAID,lHoh2fCUdA7,Lm5ZpEDH78a,Mbale District,Bungokho Subcounty,Bunapongo Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,254,0,0,1,6,2,6,12,21,35,31,25,17,17,10,5,5,0,0,1,3,3,2,2,4,7,7,12,9,4,3,1,3,0,0,0,0,0,,,1,2,19,11,,,8,5,87,21,,,0,0,78,22
Eastern Region,Mid Eastern,A8E98vahuiC,Sironko District,Bumasifwa Subcounty,Bunaseke Health Centre III,Baylor Eastern Region,82001,USAID,jz6Ko5XSHnE,A8E98vahuiC,Sironko District,Bumasifwa Subcounty,Bunaseke Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,102,0,0,5,3,1,1,2,9,20,6,9,10,4,1,4,4,0,0,1,0,1,2,0,2,0,1,3,5,3,0,3,2,0,0,0,0,0,,,0,1,3,0,,,8,1,43,12,,,1,0,24,9
Eastern Region,Mid Eastern,BN00LSP4lo5,Sironko District,Bukhulo Subcounty,Bundege Health Centre III,Baylor Eastern Region,82001,USAID,F9OAMPiufvd,BN00LSP4lo5,Sironko District,Bukhulo Subcounty,Bundege Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,40,0,0,1,0,0,0,5,5,5,7,5,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,,,0,0,10,1,,,0,1,8,1,,,1,0,15,3
Western Region,Mid Western,VkNdAzkYGjh,Bundibugyo District,Bundibugyo Town Council,Bundibugyo General Hospital,Baylor Fort Portal Mubende Region,87039,CDC,ze0kMPwQ0L2,VkNdAzkYGjh,Bundibugyo District,Bundibugyo Town Council,Bundibugyo General Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,1339,0,0,3,8,11,16,45,106,148,199,133,99,73,42,30,25,0,0,4,9,12,10,13,17,43,72,88,54,37,25,9,8,0,0,0,0,0,,,2,6,61,22,,,17,17,536,222,,,4,1,319,132
Eastern Region,Mid Eastern,qqNrWKGgl1e,Mbale City,Industrial Division,Bungokho-Mutoto Health Centre III,Baylor Eastern Region,82001,USAID,bJpqlbHaxe9,qqNrWKGgl1e,Mbale City,Industrial Division,Bungokho-Mutoto Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,128,0,1,0,0,1,2,13,17,11,11,14,12,8,2,1,0,0,0,0,1,2,1,2,3,3,2,7,2,4,4,2,2,0,0,0,0,0,,,1,1,5,2,,,1,2,62,18,,,0,0,24,12
Central Region,Central 1,X1RkzMg2Hn1,Mpigi District,Buwama Subcounty,Bunjako Health Centre III,IDI Masaka Wakiso Region,87029,CDC,o0Om1J5ph6k,X1RkzMg2Hn1,Mpigi District,Buwama Subcounty,Bunjako Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,534,0,0,3,4,6,10,32,49,83,56,41,26,12,10,3,4,0,0,0,0,5,5,3,15,31,31,40,27,16,9,5,8,0,0,0,0,0,,,10,2,66,47,,,3,3,174,94,,,0,0,86,49
Western Region,Mid Western,oa2Jc3fTgtD,Kamwenge District,Busiriba Subcounty,Bunoga Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,vF1ktWheL1E,oa2Jc3fTgtD,Kamwenge District,Busiriba Subcounty,Bunoga Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,566,0,2,3,6,3,4,38,57,73,49,45,24,38,11,9,8,0,0,0,3,5,3,2,17,31,36,38,20,18,7,7,9,0,0,0,0,0,,,2,1,48,27,,,11,7,187,102,,,1,0,121,59
Eastern Region,East Central,BxF2c8dwf02,Iganga District,Nawanyingi Subcounty,Bunyiiro Health Centre III,MJAP East Central,82000,USAID,MzYl5iSBwdG,BxF2c8dwf02,Iganga District,Nawanyingi Subcounty,Bunyiiro Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,319,0,0,2,1,5,4,18,32,36,33,34,20,21,3,6,6,0,0,1,3,4,3,3,3,8,9,16,16,17,6,7,2,0,0,0,0,0,,,4,4,50,16,,,2,4,102,34,,,2,0,61,40
Eastern Region,East Central,ECSAxXG3JMh,Kamuli District,Nawanyago Subcounty,Bupadhengo Health Centre III,MJAP East Central,82000,USAID,O8Opve9M9Hg,ECSAxXG3JMh,Kamuli District,Nawanyago Subcounty,Bupadhengo Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,330,0,0,4,1,2,12,24,25,32,25,15,12,27,12,2,6,0,0,4,5,5,2,4,11,14,15,12,24,14,12,2,7,0,0,0,0,0,,,3,7,30,20,,,4,7,103,64,,,0,0,59,33
Eastern Region,Mid Eastern,aJCkfyIurtg,Namisindwa District,Namisindwa Town Council,Bupoto Health Centre III,Baylor Eastern Region,82001,USAID,xhZa0MTAeOw,aJCkfyIurtg,Namisindwa District,Namisindwa Town Council,Bupoto Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,237,0,0,2,3,3,8,12,21,16,22,23,11,13,9,5,11,0,0,3,2,3,2,0,3,7,5,13,12,9,11,3,5,0,0,0,0,0,,,0,2,3,7,,,4,6,55,23,,,4,0,93,40
Western Region,South Western,DlOgzZNj90W,Kabale District,Kahungye Subcounty,Buramba Health Centre III,JCRC Kigezi Lango,81997,USAID,ypTl2VfKlM9,DlOgzZNj90W,Kabale District,Kahungye Subcounty,Buramba Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,15,0,0,0,0,0,0,0,2,3,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,0,0,9,2,,,0,0,3,1
Western Region,Mid Western,TJESax78KE7,Hoima District,Kyabigambire Subcounty,Buraru Health Centre III,Baylor Hoima Region,81977,CDC,wKaj7jqHlFf,TJESax78KE7,Hoima District,Buraru Subcounty,Buraru Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,487,0,1,3,3,4,10,31,48,55,46,31,27,21,9,7,2,0,0,3,8,3,6,4,17,25,36,31,20,11,9,9,7,0,0,0,0,0,,,0,0,41,13,,,11,14,167,117,,,0,0,79,45
Northern Region,Mid Northern,rRPBsggvt0q,Kazo District,Buremba Town Council,Buremba Health Centre III,TASO Ankole Acholi,81998,USAID,MZ0vT4F7F0e,rRPBsggvt0q,Kazo District,Buremba Town Council,Buremba Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,737,0,0,0,6,6,6,39,81,75,87,85,3,76,,,,0,0,2,4,7,5,11,23,32,48,44,0,97,,,,0,0,0,0,0,,,9,5,44,46,,,3,5,200,143,,,0,3,253,143
Northern Region,Mid Northern,bYYKbpHb8Y7,Buhweju District,Nyakashaka Town Council,Burere Health Centre III,TASO Ankole Acholi,81998,USAID,QtuLVWR3GLW,bYYKbpHb8Y7,Buhweju District,Nyakashaka Town Council,Burere Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,376,0,0,0,2,3,5,22,40,37,34,28,20,12,7,1,5,0,0,1,1,4,1,3,18,23,30,30,23,12,4,5,5,0,0,0,0,0,,,2,1,13,8,,,2,3,44,26,,,1,2,154,120
Western Region,South Western,aHPLLEMdB4o,Rukungiri District,Ruhinda Subcounty,Burombe Health Centre III,UPMB LSD,81995,USAID,R3YSe3HOJ5Q,aHPLLEMdB4o,Rukungiri District,Ruhinda Subcounty,Burombe Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,120,0,0,0,0,1,1,10,24,17,10,11,4,4,,,,0,1,2,1,0,0,0,3,4,6,7,3,11,,,,0,0,0,0,0,,,0,1,0,0,,,1,3,71,25,,,0,0,11,9
Western Region,Mid Western,zW3In1Q8FAJ,Kagadi District,Burora Subcounty,Burora Health Centre III,Baylor Hoima Region,81977,CDC,tCOrSNVnfnH,zW3In1Q8FAJ,Kagadi District,Burora Subcounty,Burora Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,62,0,0,1,0,2,3,5,2,9,6,6,6,3,3,0,0,0,0,0,0,1,0,0,1,2,4,5,1,0,2,0,0,0,0,0,0,0,,,1,0,0,0,,,2,1,43,15,,,0,0,0,0
Northern Region,Mid Northern,j0I9qHOtVIw,Kazo District,Burunga Subcounty,Burunga Health Centre III,TASO Ankole Acholi,81998,USAID,ptggXqVZu4b,j0I9qHOtVIw,Kazo District,Burunga Subcounty,Burunga Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,447,0,0,1,6,5,6,23,44,53,37,35,23,46,,,,0,0,2,3,0,3,2,8,20,27,25,24,54,,,,0,0,0,0,0,,,0,0,6,3,,,1,2,61,13,,,11,3,200,147
Eastern Region,East Central,ayit7T8VnwQ,Mayuge District,Busakira Subcounty,Busaala Health Centre III,MJAP East Central,82000,USAID,sRdy3jtjgd5,ayit7T8VnwQ,Mayuge District,Busakira Subcounty,Busaala Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,77,0,0,1,2,0,3,7,11,14,5,9,2,4,0,0,1,0,0,0,0,0,1,0,0,5,5,0,3,3,1,0,0,0,0,0,0,0,,,2,0,11,2,,,1,0,20,9,,,0,0,25,7
Central Region,Central 2,aXN9vlaqvJx,Kayunga District,Kayunga Subcounty,Busaale Health Centre III,WALTER REED-MUWRP,160699,DOD,mMEUjLFEKLf,aXN9vlaqvJx,Kayunga District,Kayunga Subcounty,Busaale Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,41,0,0,1,0,0,0,4,7,6,6,1,4,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,,,1,2,19,6,,,0,0,7,0,,,0,0,5,1
Eastern Region,Mid Eastern,Kz4R1fHjE7p,Butaleja District,Busaba Subcounty,Busaba Health Centre III,Baylor Eastern Region,82001,USAID,KAXYt2Vtcxa,Kz4R1fHjE7p,Butaleja District,Busaba Subcounty,Busaba Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,114,0,1,0,1,0,3,4,6,7,13,13,6,10,3,4,5,0,0,1,1,0,1,2,0,0,3,8,3,8,4,4,3,0,0,0,0,0,,,1,1,14,2,,,1,1,11,8,,,0,0,49,26
Central Region,Central 2,analluLubfV,Buikwe District,Kawolo Division,Busabaga Health Centre III,WALTER REED-MUWRP,160699,DOD,zVBq4vt8RSj,analluLubfV,Buikwe District,Kawolo Division,Busabaga Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,476,0,1,2,5,6,7,27,58,58,56,33,19,19,10,9,8,0,1,0,5,12,8,6,6,16,20,25,27,15,7,3,7,0,0,0,0,0,,,2,6,26,4,,,12,12,70,17,,,0,0,208,119
Eastern Region,Mid Eastern,YFyMK0BnLsG,Butaleja District,Busabi Subcounty,Busabi Health Centre III,Baylor Eastern Region,82001,USAID,MjBo4jMa2lD,YFyMK0BnLsG,Butaleja District,Busabi Subcounty,Busabi Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,159,0,0,0,3,2,4,4,14,17,15,13,10,8,3,2,4,0,0,2,2,4,1,2,0,2,6,6,7,11,5,7,5,0,0,0,0,0,,,0,2,12,4,,,4,5,20,7,,,1,1,62,41
Eastern Region,Mid Eastern,C9Kvzwphv8J,Mbale City,Industrial Division,Busamaga Health Centre III,Baylor Eastern Region,82001,USAID,hJPMpWVbNuS,C9Kvzwphv8J,Mbale City,Industrial Division,Busamaga Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,136,0,0,0,1,2,1,6,16,26,22,6,4,6,5,3,2,0,2,2,1,1,1,0,3,5,7,6,4,0,3,0,1,0,0,0,0,0,,,1,3,11,6,,,1,3,52,12,,,1,0,34,12
Central Region,Central 2,afzGq7RpOTl,Buvuma District,Busamuzi Subcounty,Busamuzi Health Centre III,WALTER REED-MUWRP,160699,DOD,Ubo79rcz8Zg,afzGq7RpOTl,Buvuma District,Busamuzi Subcounty,Busamuzi Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,300,0,0,2,1,5,3,6,23,18,28,28,26,19,13,12,10,0,1,2,2,2,2,2,10,12,11,9,13,20,6,5,9,0,0,0,0,0,,,3,0,36,18,,,3,2,49,30,,,2,5,101,51
Central Region,Central 2,aLmtlWu249T,Kayunga District,Busaana Town Council,Busana Health Centre III,WALTER REED-MUWRP,160699,DOD,IPokKXfWyfU,aLmtlWu249T,Kayunga District,Busaana Town Council,Busana Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,1173,0,0,4,11,15,17,45,90,111,110,104,99,74,61,36,29,0,0,2,12,20,10,3,13,24,49,46,59,47,35,28,19,0,0,0,0,0,,,3,2,29,15,,,7,11,200,56,,,20,21,547,262
Eastern Region,Mid Eastern,S3tP2Tw15nr,Mbale District,Busano Subcounty,Busano Health Centre III,Baylor Eastern Region,82001,USAID,ccB2UXuR8Hv,S3tP2Tw15nr,Mbale District,Busano Subcounty,Busano Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,117,0,0,0,0,1,2,3,4,7,9,10,17,11,10,4,6,0,0,1,2,1,1,1,0,0,1,2,6,5,5,2,6,0,0,0,0,0,,,1,2,16,3,,,0,2,59,24,,,0,0,8,2
Western Region,South Western,pCvTmt48vr0,Kisoro District,Busanza Subcounty,Busanza Health Centre IV,JCRC Kigezi Lango,81997,USAID,qO8zj7idQEJ,pCvTmt48vr0,Kisoro District,Busanza Subcounty,Busanza Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,320,0,1,1,2,3,2,7,12,29,18,30,31,28,16,8,14,0,0,0,1,5,1,3,4,7,13,14,22,15,12,9,12,0,0,0,0,0,,,2,0,6,4,,,5,6,22,6,,,0,0,167,102
Western Region,Mid Western,xpfoySoqqeO,Bundibugyo District,Busaru Subcounty,Busaru Health Centre IV,UEC,81974,CDC,JauwWWhSwTd,xpfoySoqqeO,Bundibugyo District,Busaru Subcounty,Busaru Health Centre IV,UEC,81974,CDC,DSD,FY2025Q1,418,0,0,1,6,7,9,17,28,48,69,48,25,20,7,8,2,0,0,1,4,8,6,1,6,12,20,18,22,13,7,4,1,0,0,0,0,0,,,9,6,55,20,,,5,6,84,32,,,0,1,142,58
Central Region,Central 1,rjIpxD2fcZB,Wakiso District,Masuliita Subcounty,Busawamanze Health Centre III,IDI Masaka Wakiso Region,87029,CDC,Iv5MGwIHnO5,rjIpxD2fcZB,Wakiso District,Masuliita Subcounty,Busawamanze Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,301,0,0,0,2,3,3,13,30,34,28,29,17,8,10,6,9,0,1,0,2,3,1,2,4,17,11,19,15,14,10,4,6,0,0,0,0,0,,,0,0,21,3,,,4,6,92,60,,,1,0,74,40
Eastern Region,East Central,t5UJ7lyEPo3,Jinja District,Busedde Subcounty,Busedde Health Centre III,MJAP East Central,82000,USAID,stuP0oYkgpy,t5UJ7lyEPo3,Jinja District,Busedde Subcounty,Busedde Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,226,0,0,0,4,5,3,7,20,23,16,26,25,16,13,8,7,0,0,0,3,3,3,1,4,0,6,7,9,4,6,2,5,0,0,0,0,0,,,3,2,36,10,,,6,4,74,23,,,0,0,54,14
Eastern Region,East Central,RWICuGNoE6b,Bugweri District,Busembatia Town Council,Busembatya Health Centre III,MJAP East Central,82000,USAID,q0RocIpwGYQ,RWICuGNoE6b,Bugweri District,Busembatia Town Council,Busembatya Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,658,0,0,2,6,7,10,30,62,68,62,83,35,48,26,17,12,0,0,0,2,5,5,4,9,27,34,24,26,21,12,7,14,0,0,0,0,0,,,2,0,31,13,,,13,7,151,60,,,0,0,271,110
Central Region,Central 2,oqpQTfNAJJw,Kassanda District,Mbirizi Subcounty,Buseregenyu Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,AXLvJIJCcT9,oqpQTfNAJJw,Kassanda District,Mbirizi Subcounty,Buseregenyu Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,22,0,1,0,0,0,1,0,2,3,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,2,0,1,0,0,0,0,0,0,0,,,1,0,7,5,,,0,0,5,4,,,0,0,0,0
Western Region,Mid Western,ccVG52jNm8D,Hoima District,Buseruka Subcounty,Buseruka Health Centre III,Baylor Hoima Region,81977,CDC,YpQfDFOoadu,ccVG52jNm8D,Hoima District,Buseruka Subcounty,Buseruka Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,515,0,0,4,7,9,10,34,41,64,61,39,28,19,13,3,3,0,0,1,2,3,0,3,10,21,36,37,22,24,12,6,3,0,0,0,0,0,,,1,1,47,14,,,17,4,161,82,,,2,1,107,78
Eastern Region,East Central,FLMye24JUsV,Bugweri District,Bugweri Town Council,Busesa Health Centre IV,MJAP East Central,82000,USAID,hdTndAU3MFS,FLMye24JUsV,Bugweri District,Bugweri Town Council,Busesa Health Centre IV,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,1199,0,0,4,17,11,15,48,117,150,158,120,98,65,38,21,23,0,0,1,12,20,9,5,13,22,48,44,48,36,27,11,18,0,0,0,0,0,,,10,10,99,22,,,20,17,322,91,,,2,6,432,168
Eastern Region,Mid Eastern,oCg2PMCReX1,Kibuku District,Buseta Subcounty,Buseta Health Centre III,Baylor Eastern Region,82001,USAID,Ff6TWjYID41,oCg2PMCReX1,Kibuku District,Buseta Subcounty,Buseta Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,216,0,0,3,2,4,3,11,11,22,19,15,23,11,8,7,10,0,0,0,0,3,0,1,1,7,11,14,7,8,6,5,4,0,0,0,0,0,,,6,1,17,10,,,3,2,63,27,,,0,0,60,27
Central Region,Central 1,L3gSrcVk4Nj,Sembabule District,Mijwala Subcounty,Busheka (Sembabule) Health Centre III,IDI Masaka Wakiso Region,87029,CDC,eYqirOfJlJC,L3gSrcVk4Nj,Sembabule District,Mijwala Subcounty,Busheka (Sembabule) Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,140,0,0,0,0,2,2,7,5,20,16,19,6,8,6,5,6,0,0,0,1,3,0,2,1,5,4,3,7,6,1,4,1,0,0,0,0,0,,,0,0,9,0,,,1,1,18,6,,,1,3,75,27
Northern Region,Mid Northern,jmcxCPyDHHS,Bushenyi District,Central Division,Bushenyi Health Centre IV,TASO Ankole Acholi,81998,USAID,dimsx7jS2bm,jmcxCPyDHHS,Bushenyi District,Central Division,Bushenyi Health Centre IV,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,1286,0,0,6,13,15,12,63,138,157,143,82,67,97,,,,0,0,7,9,15,10,12,29,74,84,85,59,109,,,,0,0,0,0,0,,,4,14,73,40,,,14,4,340,194,,,17,12,337,222
Western Region,South Western,aJNgqIuVpYF,Bushenyi District,Central Division,Bushenyi Medical Centre HC III,UPMB LSD,81995,USAID,oY4ZakPqFHF,aJNgqIuVpYF,Bushenyi District,Central Division,Bushenyi Medical Centre HC III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,3111,0,1,3,12,16,46,61,113,174,273,284,350,289,193,109,92,0,0,0,7,18,37,26,41,63,113,171,145,169,127,103,75,0,0,0,0,0,,,8,0,70,57,,,4,4,232,98,,,20,21,1682,915
Western Region,South Western,soO4xwuSfkS,Bushenyi District,Central Division,Bushenyi Ug. Prisons Health Centre III,UPS Follow-on,84974,CDC,QCPFQ3Cevs8,soO4xwuSfkS,Bushenyi District,Central Division,Bushenyi Ug. Prisons Health Centre III,UPS,84974,CDC,DSD,FY2025Q1,209,0,0,0,0,0,0,6,8,5,2,4,3,3,,,,0,0,0,0,0,3,16,36,44,25,17,14,23,,,,0,132,0,0,0,,,3,0,12,120,,,0,0,0,0,,,0,0,0,0
Eastern Region,Mid Eastern,J3KJzX1JSXu,Bududa District,Nakatsi Subcounty,Bushika Health Centre III,Baylor Eastern Region,82001,USAID,UfxtsGGgBDH,J3KJzX1JSXu,Bududa District,Nakatsi Subcounty,Bushika Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,194,0,0,1,6,4,3,8,11,15,13,19,19,15,15,10,6,0,0,0,2,3,4,2,1,2,3,6,4,5,8,5,4,0,0,0,0,0,,,7,3,20,6,,,4,1,58,18,,,0,1,56,20
Eastern Region,Mid Eastern,b5gYOcDzgXn,Mbale District,Bungokho Subcounty,Bushikori Health Centre III,UPMB LSD,81995,USAID,sE6JArZ5Woo,b5gYOcDzgXn,Mbale District,Bungokho Subcounty,Bushikori Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,183,0,0,1,0,1,5,7,14,27,20,15,16,9,6,5,4,0,1,1,3,2,0,1,4,5,5,7,7,7,4,4,2,0,0,0,0,0,,,2,0,20,5,,,2,4,96,38,,,0,0,10,6
Eastern Region,Mid Eastern,iu8AuF8DVXT,Bududa District,Bushiyi Subcounty,Bushiyi Health Centre III,Baylor Eastern Region,82001,USAID,w1l688e8L0T,iu8AuF8DVXT,Bududa District,Bushiyi Subcounty,Bushiyi Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,108,0,0,0,3,2,0,7,6,10,9,9,13,7,5,3,3,0,0,0,0,2,1,0,1,4,3,3,3,4,4,4,2,0,0,0,0,0,,,1,0,19,3,,,4,1,20,9,,,0,1,33,17
Eastern Region,East Central,Yr843NBuL9D,Busia District,Western Division,Busia Health Centre IV,MJAP East Central,82000,USAID,AzNU2bAmNfD,Yr843NBuL9D,Busia District,Western Division,Busia Health Centre IV,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,2219,0,0,7,16,27,37,94,191,305,271,217,128,89,54,35,21,0,0,11,15,32,17,21,24,67,94,141,117,75,55,26,32,0,0,0,0,0,,,11,15,230,74,,,32,38,539,221,,,7,5,673,374
