PIRS District,PIRS Subcounty,subcounty_pop_adjusted
Nakaseke District,Kinyogoga Subcounty,23976.34
Wakiso District,Kira Division,124627.94
Kalungu District,Lwabenge Subcounty,70559.12
Nakasongola District,Kakooge Subcounty,42100.22
Masindi District,Central Division,42050.78
Wakiso District,Namugongo Division,308620.96
Wakiso District,Namugongo Division,308620.96
Nakaseke District,Semuto Subcounty,48212.24
Tororo District,Kirewa Subcounty,28956.39
Kabale District,Southern Division,21434.3
Kibuku District,Kirika Subcounty,24248.260000000002
Kween District,Kiriki Subcounty,5008.89
Kanungu District,Kirima Subcounty,18184.65
Mpigi District,Kiringente Subcounty,46813.5
Wakiso District,Bweyogerere Division,220094.52000000002
Kampala District,Makindye Division,809596.48
Kiruhura District,Kiruhura Town Council,5756.67
Kiruhura District,Kinoni Subcounty,21272.59
Kiruhura District,Kiruhura Town Council,5756.67
Kyotera District,Kirumba Subcounty,51483.520000000004
Kiryandongo District,Kiryandongo Town Council,6151.16
Kagadi District,Kiryanga Subcounty,25033.12
Kampala District,Kawempe Division,697649.9
Hoima District,Kyabigambire Subcounty,42208.37
Kampala District,Central Division,154846.08000000002
Kyegegwa District,Ruyonza Subcounty,29025.4
Rubirizi District,Katunguru Subcounty,3919.15
Rukungiri District,Nyarushanje Subcounty,46229.49
Bukomansimbi District,Kibinge Subcounty,67561.82
Tororo District,Kisoko Subcounty,19584.420000000002
Wakiso District,Katabi Town Council,217678.14
Kampala District,Makindye Division,809596.48
Kampala District,Nakawa Division,653067.38
Kakumiro District,Kitaihuka Subcounty,15526.220000000001
Wakiso District,Katabi Town Council,217678.14
Wakiso District,Namayumba Subcounty,37442.56
Wakiso District,Namayumba Subcounty,37442.56
Bukomansimbi District,Kitanda Subcounty,58617.3
Rukiga District,Kashambya Subcounty,26839.74
Kampala District,Kawempe Division,697649.9
Kamuli District,Kitayunjwa Subcounty,41289.61
Kasese District,Kitholhu Subcounty,17377.13
Kalungu District,Bukulula Subcounty,90407.22
Butambala District,Kalamba Subcounty,40200.9
Ntungamo District,Ihunga Subcounty,15747.67
Mityana District,Butayunja Subcounty,22418.98
Kabale District,Rubaya Subcounty,20911.06
Mpigi District,Kituntu Subcounty,45878.26
Kiruhura District,Kitura Subcounty,16072.12
Kiryandongo District,Kiryandongo Subcounty,82767.71
Ntungamo District,Kitwe Town Council,18580.170000000002
Lwengo District,Kisekka Subcounty,101413.8
Nakaseke District,Kiwoko Town Council,22859.82
Tororo District,Nabuyoga Subcounty,31853.780000000002
Luuka District,Luuka Town Council,10571.92
Mubende District,Kiyuni Subcounty,34774.86
Kyankwanzi District,Gayaza Subcounty,42083.74
Wakiso District,Masulita Town Council,30053.34
Wakiso District,Masulita Town Council,30053.34
Mpigi District,Mpigi Town Council,89321.6
Kaberamaido District,Kobulubulu Subcounty,20247.74
Ngora District,Kobwin Subcounty,34357.71
Bukedea District,Kolir Subcounty,33714.99
Kampala District,Kawempe Division,697649.9
Bukwo District,Kortek Subcounty,5972.97
Kumi District,Ongino Subcounty,43243.520000000004
Kumi District,Southern Division,19190.96
Kween District,Kwanyiy Subcounty,10355.62
Tororo District,Kwapa Subcounty,20764.8
Butambala District,Budde Subcounty,28292.04
Rubirizi District,Kyabakara Subcounty,13143.83
Kagadi District,Paacwa Subcounty,16563.43
Mukono District,Ntunda Subcounty,31035.96
Isingiro District,Isingiro Town Council,28830.73
Kagadi District,Kyakabadiima Subcounty,9782.94
Kyenjojo District,Bugaaki Subcounty,32495.47
Kakumiro District,Kisiita Subcounty,60262.21
Luwero District,Katikamu Subcounty,89498.76000000001
Rakai District,Kyalulangira Subcounty,57313.32
Lwengo District,Kisekka Subcounty,101413.8
Mukono District,Kyampisi Subcounty,92852.44
Bushenyi District,Kyamuhunga Town Council,15298.59
Kalungu District,Kyamulibwa Town Council,9918.9
Mityana District,Kalangaalo Subcounty,63101.92
Tororo District,Western Division,23630.260000000002
Kabale District,Kyanamira Subcounty,20528.93
Masaka District,Kyanamukaaka Subcounty,64933.26
Kyotera District,Kalisizo Subcounty,37063.520000000004
Sheema District,Kakindo Town Council,10243.35
Kyenjojo District,Kihuura Subcounty,30002.87
Kyankwanzi District,Kyankwanzi Town Council,12623.68
Mityana District,Kalangaalo Subcounty,63101.92
Isingiro District,Kabingo Subcounty,22500.350000000002
Kyenjojo District,Kyarusozi Town Council,13541.41
Kagadi District,Kyaterekera Subcounty,25010.46
Lwengo District,Kyazanga Town Council,31303.760000000002
Kibaale District,Kyebando Subcounty,13735.050000000001
Kyotera District,Kyebe Subcounty,42615.22
Kyegegwa District,Kyegegwa Town Council,19325.89
Kiruhura District,Kikaatsi Subcounty,19489.66
Isingiro District,Kabingo Subcounty,22500.350000000002
Bushenyi District,Kyeizooba Subcounty,27439.2
Wakiso District,Kyengera Town Council,402793.86
Wakiso District,Masuliita Subcounty,22070.84
Kyenjojo District,Kyenjojo Town Council,23648.8
Rubirizi District,Kirugu Subcounty,11641.06
Serere District,Kyere Subcounty,49334.94
Mukono District,Nakisunga Subcounty,99559.8
Lwengo District,Lwengo Subcounty,102820.78
Rukiga District,Kamwezi Subcounty,27334.14
Kasese District,Kyondo Subcounty,24683.95
Kyotera District,Kyotera Town Council,26098.14
Mukono District,Central Division,143522.26
Masaka District,Bukakata Subcounty,36550.58
Namayingo District,Lolwe Subcounty,12555.7
Wakiso District,Kakiri Subcounty,80622.22
Wakiso District,Ndejje Division,192591.46
Kayunga District,Kayonza Subcounty,122419.62000000001
Luwero District,Katikamu Subcounty,89498.76000000001
Kalangala District,Mazinga Subcounty,11076.62
Buvuma District,Nairambi Subcounty,39825.98
Kalungu District,Lukaya Town Council,49775.78
Mityana District,Central Division,46380.9
Kalangala District,Bufumira Subcounty,21201.52
Kamuli District,Wankole Subcounty,20587.64
Busia District,Lunyo Subcounty,15424.25
Luwero District,Bamunanika Subcounty,59276.5
Nakasongola District,Lwampanga Subcounty,61138.74
Wakiso District,Kakiri Subcounty,80622.22
Kampala District,Nakawa Division,653067.38
Buvuma District,Lwajje Subcounty,9047.52
Rakai District,Ddwaniro Subcounty,67596.84
Rakai District,Lwamaggwa Subcounty,90648.24
Rakai District,Lwamaggwa Subcounty,90648.24
Nakasongola District,Lwampanga Subcounty,61138.74
Rakai District,Lwanda Subcounty,59115.82
Mbale District,Busoba Subcounty,21419.88
Manafwa District,Busukuya Subcounty,13245.800000000001
Kyotera District,Lwankoni Subcounty,30667.22
Mubende District,Western Division,58942.78
Lwengo District,Lwengo Subcounty,102820.78
Lwengo District,Kisekka Subcounty,101413.8
Lyantonde District,Lyantonde Town Council,28475.38
Lyantonde District,Lyantonde Town Council,28475.38
Mityana District,Maanyi Subcounty,43849.16
Kyenjojo District,Bugaaki Subcounty,32495.47
Isingiro District,Isingiro Town Council,28830.73
Mubende District,Madudu Subcounty,76007.82
Namutumba District,Magada Subcounty,50015.770000000004
Mityana District,Ttamu Division,62179.04
Namisindwa District,Magale Town Council,4168.41
Mayuge District,Magamaga Town Council,16853.89
Jinja District,Buwenge Subcounty,48014.48
Wakiso District,Nabweru Division,218905.9
Wakiso District,Kakiri Subcounty,80622.22
Katakwi District,Magoro Subcounty,19227.010000000002
Kasese District,Mahango Subcounty,20471.25
Busia District,Majanji Subcounty,11190.95
Kampala District,Central Division,154846.08000000002
Kampala District,Central Division,154846.08000000002
Mbale District,Busiu Subcounty,22788.75
Buikwe District,Najja Subcounty,90609.1
Kampala District,Makindye Division,809596.48
Kanungu District,Kanungu Town Council,15507.68
Lwengo District,Ndagwe Subcounty,79594.28
Buikwe District,Najja Subcounty,90609.1
Bukomansimbi District,Kitanda Subcounty,58617.3
Luwero District,Makulubita Subcounty,67767.82
Tororo District,Malaba Town Council,18507.04
Mityana District,Malangala Subcounty,49767.54
Bukedea District,Malera Subcounty,47252.28
Kasese District,Maliba Subcounty,48051.56
Mayuge District,Malongo Subcounty,105122.83
Gomba District,Kyegonza Subcounty,62294.4
Butambala District,Bulo Subcounty,38979.32
Masindi District,Central Division,42050.78
Masindi District,Central Division,42050.78
Masindi District,Central Division,42050.78
Masindi District,Central Division,42050.78
Masindi District,Central Division,42050.78
Bulambuli District,Masiira Subcounty,9807.66
Sironko District,Masaba Subcounty,10470.98
Mayuge District,Jaguzi Subcounty,13613.51
Kibaale District,Matale Subcounty,18380.350000000002
Kanungu District,Kihihi Subcounty,18506.010000000002
Wakiso District,Gombe Division,157876.34
Mubende District,Kigando Subcounty,83522.7
Mayuge District,Mayuge Town Council,17913.760000000002
Kabale District,Maziba Subcounty,21704.16
Kalangala District,Mazinga Subcounty,11076.62
Isingiro District,Mbaare Subcounty,34461.74
Sironko District,Butandiga Subcounty,6163.52
Busia District,Masaba Subcounty,24079.34
Lwengo District,Lwengo Subcounty,102820.78
Lwengo District,Lwengo Subcounty,102820.78
Kamuli District,Mbulamuti Subcounty,30392.21
Kanungu District,Nyakinoni Subcounty,9005.29
Kampala District,Nakawa Division,653067.38
Kampala District,Makindye Division,809596.48
Tororo District,Mella Subcounty,19838.83
Wakiso District,Mende Subcounty,54233.62
Tororo District,Merikit Subcounty,26542.07
Tororo District,Kirewa Subcounty,28956.39
Wakiso District,Gombe Division,157876.34
Masindi District,Bwijanga Subcounty,53646.520000000004
Wakiso District,Ndejje Division,192591.46
Bukomansimbi District,Kibinge Subcounty,67561.82
Wakiso District,Kasangati Town Council,293263.66000000003
Bunyangabu District,Kyamukube Town Council,11856.33
Mitooma District,Mitooma Town Council,5809.2
Kyotera District,Kyotera Town Council,26098.14
Mityana District,Central Division,46380.9
Mityana District,Central Division,46380.9
Mityana District,Central Division,46380.9
Tororo District,Molo Subcounty,19367.09
Amuria District,Morungatuny Subcounty,17695.4
Ntungamo District,Kayonza Subcounty,28444.48
Jinja District,Busedde Subcounty,37818.51
Hoima District,Kyabigambire Subcounty,42208.37
Kakumiro District,Mpasaana Subcounty,23711.63
Kagadi District,Mpeefu Subcounty,40015.5
Kagadi District,Mpeefu Subcounty,40015.5
Gomba District,Mpenja Subcounty,65779.92
Mpigi District,Mpigi Town Council,89321.6
Mpigi District,Mpigi Town Council,89321.6
Pallisa District,Puti-Puti Subcounty,25016.64
Mityana District,Bbanda Subcounty,28009.82
Lyantonde District,Mpumudde Subcounty,49025.94
Mukono District,Mpunge Subcounty,28673.14
Rubanda District,Hamurwa Subcounty,27794.55
Kanungu District,Mpungu Subcounty,12304.380000000001
Kalungu District,Kyamulibwa Town Council,9918.9
Kasese District,Central Division,32662.33
Mubende District,Bagezza Subcounty,24056.68
Mubende District,Eastern Division,57070.24
Mubende District,Western Division,58942.78
Mubende District,Southern Division,70342.82
Tororo District,Eastern Division,19646.22
Mpigi District,Muduuma Subcounty,63110.16
Kagadi District,Kyenzige Subcounty,16647.89
Kibaale District,Mugarama Subcounty,12234.34
Kalangala District,Mugoye Subcounty,25181.440000000002
Kabarole District,Mugusu Town Council,10624.45
Rukiga District,Muhanga Town Council,12110.74
Kagadi District,Muhorro Town Council,23063.760000000002
Kagadi District,Muhorro Subcounty,14944.27
Kagadi District,Muhorro Town Council,23063.760000000002
Mubende District,Kasambya Subcounty,78724.96
Kasese District,Maliba Subcounty,48051.56
Rubanda District,Rubanda Town Council,22216.07
Rubanda District,Muko Subcounty,38848.51
Kumi District,Mukongoro Subcounty,48201.94
Mukono District,Central Division,143522.26
Mukono District,Central Division,143522.26
Tororo District,Mukuju Subcounty,39355.270000000004
Ngora District,Mukura Subcounty,34593.58
Kalangala District,Bujumba Subcounty,23805.36
Butaleja District,Busaba Subcounty,25443.06
Luwero District,Bamunanika Subcounty,59276.5
Tororo District,Mulanda Subcounty,39961.94
Lwengo District,Kyazanga Town Council,31303.760000000002
Kyenjojo District,Bugaaki Subcounty,32495.47
Rubirizi District,Katanda Subcounty,19392.84
Kisoro District,Muramba Subcounty,37397.24
Kampala District,Nakawa Division,653067.38
Rubirizi District,Ryeru Subcounty,13638.23
Bugiri District,Muterere Subcounty,28744.21
Kisoro District,Nyakabande Subcounty,25625.37
Kiryandongo District,Mutunda Subcounty,65081.58
Wakiso District,Bunamwaya Division,149417.98
Wakiso District,Bunamwaya Division,149417.98
Kiboga District,Muwanga Subcounty,37084.12
Bulambuli District,Bulambuli Town Council,3360.89
Kagadi District,Bwikara Subcounty,42881.99
Wakiso District,Kyengera Town Council,402793.86
Kyenjojo District,Kyarusozi Town Council,13541.41
Mityana District,Kakindu Subcounty,37951.38
Kyenjojo District,Katooke Subcounty,36335.31
Mityana District,Busimbi Division,88021.74
Wakiso District,Kyengera Town Council,402793.86
Kyotera District,Nabigasa Subcounty,42555.48
Kamuli District,Nabwigulu Subcounty,22646.61
Namutumba District,Nabweyo Subcounty,17317.39
Nakasongola District,Nabisweera Subcounty,34035.32
Namisindwa District,Namboko Subcounty,10565.74
Bugiri District,Nabukalu Subcounty,37726.840000000004
Kibuku District,Kagumu Subcounty,28265.260000000002
Busia District,Western Division,23548.89
Wakiso District,Busukuma Division,77723.8
Kiboga District,Muwanga Subcounty,37084.12
Wakiso District,Nansana Division,297649.4
Mpigi District,Nkozi Subcounty,86771.32
Wakiso District,Kakiri Subcounty,80622.22
Mukono District,Nagojje Subcounty,71076.18000000001
Tororo District,Nagongera Town Council,12711.23
Butebo District,Petete Subcounty,27423.75
Mbale District,Bumbobi Subcounty,16842.56
Buikwe District,Najjembe Division,68641.26
Iganga District,Nakalama Subcounty,47777.58
Nakaseke District,Nakaseke Town Council,14930.880000000001
Masaka District,Buwunga Subcounty,86969.08
Nakasongola District,Nakasongola Town Council,20253.920000000002
Nakasongola District,Lwampanga Subcounty,61138.74
Nakasongola District,Nakasongola Town Council,20253.920000000002
Luwero District,Bombo Town Council,53213.92
Kayunga District,Busaana Subcounty,116365.28
Nakasongola District,Lwabiyata Subcounty,32156.600000000002
Wakiso District,Namayumba Subcounty,37442.56
Nakasongola District,Nakitoma Subcounty,27435.08
Butaleja District,Butaleja Subcounty,16321.380000000001
Kyankwanzi District,Mulagi Subcounty,26782.06
Wakiso District,Katabi Town Council,217678.14
Kakumiro District,Nalweyo Subcounty,18022.94
Kamuli District,Namasagali Subcounty,38689.89
Buvuma District,Bweema Subcounty,18074.44
Mbale District,Lukhonge Subcounty,9913.75
Wakiso District,Namayumba Town Council,31196.64
Wakiso District,Namayumba Town Council,31196.64
Iganga District,Nambale Subcounty,48039.200000000004
Budaka District,Budaka Town Council,24523.27
Buikwe District,Wakisi Division,84727.8
Wakiso District,Kakiri Subcounty,80622.22
Wakiso District,Kira Division,124627.94
Kaliro District,Namugongo Subcounty,20608.24
Buikwe District,Ngogwe Subcounty,73179.44
Wakiso District,Busukuma Division,77723.8
Mityana District,Namungo Subcounty,35351.66
Nakaseke District,Kapeeka Subcounty,57335.98
Mityana District,Bulera Subcounty,61851.5
Namutumba District,Namutumba Town Council,19239.37
Kamuli District,Namwendwa Subcounty,59334.18
Kaliro District,Namwiwa Subcounty,28283.8
Rubanda District,Nyamweru Subcounty,17880.8
Bugiri District,Nankoma Subcounty,42393.770000000004
Wakiso District,Nansana Division,297649.4
Lwengo District,Ndagwe Subcounty,79594.28
Wakiso District,Nabweru Division,218905.9
Kaliro District,Bukamba Subcounty,27579.280000000002
Iganga District,Nawandala Subcounty,32187.5
Kamuli District,Nawanyago Subcounty,24554.170000000002
Butaleja District,Naweyo Subcounty,22358.21
Kagadi District,Ndaiga Subcounty,8919.800000000001
Rukungiri District,Kebisoni Subcounty,23115.260000000002
Rubirizi District,Rutoto Subcounty,13648.53
Wakiso District,Ndejje Division,192591.46
Luwero District,Nyimbwa Subcounty,75266.22
Kabale District,Southern Division,21434.3
Butambala District,Ngando Subcounty,38441.66
Isingiro District,Ngarama Subcounty,28846.18
Katakwi District,Ngariam Subcounty,11274.380000000001
Kween District,Ngenge Subcounty,11701.83
Buikwe District,Ngogwe Subcounty,73179.44
Ntungamo District,Ngoma Subcounty,28306.46
Nakaseke District,Ngoma Town Council,12947.1
Ngora District,Ngora Town Council,15602.44
Ngora District,Ngora Town Council,15602.44
Ngora District,Ngora Town Council,15602.44
Mpigi District,Nkozi Subcounty,86771.32
Luwero District,Wobulenzi Town Council,55718.880000000005
Buikwe District,Nkokonjeru Town Council,18562.66
Buikwe District,Nkokonjeru Town Council,18562.66
Buyende District,Nkondo Subcounty,31104.97
Lwengo District,Kkingo Subcounty,70839.28
Kakumiro District,Nkooko Subcounty,35716.28
Kabarole District,Ruteete Subcounty,18637.850000000002
Mukono District,Nama Subcounty,111792.08
Mpigi District,Mpigi Town Council,89321.6
Wakiso District,Kyengera Town Council,402793.86
Luwero District,Katikamu Subcounty,89498.76000000001
Buhweju District,Nsiika Town Council,3044.6800000000003
Namutumba District,Nsinze Subcounty,26315.47
Mpigi District,Muduuma Subcounty,63110.16
Bundibugyo District,Ntandi Town Council,7804.31
Kisoro District,Nyabwishenya Subcounty,15641.58
Kayunga District,Kayunga Town Council,55745.66
Kayunga District,Kayunga Town Council,55745.66
Masindi District,Bwijanga Subcounty,53646.520000000004
Ntoroko District,Kanara Town Council,8227.64
Ntungamo District,Central Division,7970.14
Ntungamo District,Western Division,5389.99
Kyankwanzi District,Ntwetwe Town Council,20902.82
Wakiso District,Nansana Division,297649.4
Kisoro District,Chahi Subcounty,19373.27
Kasese District,Kisinga Town Council,16522.23
Bushenyi District,Nyabubare Subcounty,36988.33
Ibanda District,Bufunda Division,39188.41
Kabarole District,Mugusu Subcounty,13788.61
Masindi District,Budongo Subcounty,53493.05
Bundibugyo District,Nyahuka Town Council,17196.88
Kiryandongo District,Bweyale Town Council,32108.190000000002
Rukungiri District,Nyakagyeme Subcounty,32803.44
Kyenjojo District,Nyabuharwa Subcounty,25471.9
Kiruhura District,Nyakashashara Subcounty,16742.65
Kanungu District,Kanungu Town Council,15507.68
Kasese District,Bwera Subcounty,18034.27
Kisoro District,Nyakinama Subcounty,20266.28
Rukungiri District,Nyakishenyi Subcounty,35156.99
Masindi District,Karujubu Division,28658.72
Isingiro District,Nyakitunda Subcounty,42800.62
Ibanda District,Nyamarebe Subcounty,23935.14
Kibaale District,Nyamarwa Subcounty,20610.3
Kasese District,Muhokya Subcounty,19798.66
Kiboga District,Kapeke Subcounty,32078.32
Isingiro District,Nyamuyanja Subcounty,16184.390000000001
Kanungu District,Kihiihi Town Council,20406.36
Isingiro District,Masha Subcounty,26855.190000000002
Kisoro District,Nyarubuye Subcounty,19476.27
Bushenyi District,Nyabubare Subcounty,36988.33
Rukungiri District,Nyarushanje Subcounty,46229.49
Kisoro District,Nyarusiza Subcounty,31217.24
Kumi District,Nyero Subcounty,34052.83
Luwero District,Nyimbwa Subcounty,75266.22
Mbale District,Nyondo Subcounty,8835.34
Kaberamaido District,Ochero Subcounty,26899.48
Kampala District,Central Division,154846.08000000002
Kumi District,Kanyum Subcounty,43055.03
Serere District,Kyere Subcounty,49334.94
Kumi District,Kumi Subcounty,18087.83
Kumi District,Ongino Subcounty,43243.520000000004
Amuria District,Abarilela Subcounty,25018.7
Tororo District,Osukuru Subcounty,47260.520000000004
Nakasongola District,Nakasongola Town Council,20253.920000000002
Kamwenge District,Kamwenge Town Council,19864.58
Masindi District,Miirya Subcounty,20853.38
Pallisa District,Pallisa Town Council,34132.14
Pallisa District,Pallisa Town Council,34132.14
Pallisa District,Pallisa Town Council,34132.14
Kiryandongo District,Bweyale Town Council,32108.190000000002
Kiryandongo District,Mutunda Subcounty,65081.58
Tororo District,Rubongi Subcounty,37622.81
Buliisa District,Ngwedo Subcounty,17996.16
Tororo District,Paya Subcounty,30371.61
Tororo District,Petta Subcounty,16264.73
Serere District,Pingire Subcounty,35551.48
Masindi District,Karujubu Division,28658.72
Tororo District,Magola Subcounty,18358.72
Kasese District,Central Division,32662.33
Rakai District,Rakai Town Council,15225.460000000001
Kyotera District,Kalisizo Town Council,28800.86
Rakai District,Kiziba Subcounty,42108.46
Rakai District,Rakai Town Council,15225.460000000001
Bunyangabu District,Kyamukube Town Council,11856.33
Gomba District,Kyegonza Subcounty,62294.4
Wakiso District,Bussi Subcounty,32603.620000000003
Kampala District,Nakawa Division,653067.38
Kampala District,Nakawa Division,653067.38
Kampala District,Nakawa Division,653067.38
Mukono District,Nakisunga Subcounty,99559.8
Rubanda District,Bufundi Subcounty,26358.73
Rubanda District,Rubanda Town Council,22216.07
Ntungamo District,Rubaare Town Council,13731.960000000001
Mbarara District,Rubaya Subcounty,18792.350000000002
Bunyangabu District,Rubona Town Council,5770.06
Isingiro District,Rushasha Subcounty,13457.98
Tororo District,Rubongi Subcounty,37622.81
Isingiro District,Ruborogota Subcounty,18089.89
Kisoro District,Rubuguri Town Council,2235.1
Ntungamo District,Rugarama Subcounty,32084.5
Kabale District,Northern Division,12860.58
Kagadi District,Rugashari Subcounty,16217.35
Kanungu District,Rugyeyo Subcounty,21352.93
Ntungamo District,Ruhaama Subcounty,44171.55
Kyegegwa District,Rwentuha Subcounty,37469.340000000004
Rubanda District,Ruhija Subcounty,10504.970000000001
Rukungiri District,Ruhinda Subcounty,26577.09
Ibanda District,Kagango Division,36275.57
Bushenyi District,Ruhumuro Subcounty,13916.33
Ibanda District,Rukiri Subcounty,25026.940000000002
Kasese District,Nyamwamba Division,57786.090000000004
Ntungamo District,Kibatsi Subcounty,20053.07
Rubirizi District,Kichwamba Subcounty,17140.23
Kiruhura District,Nyakashashara Subcounty,16742.65
Isingiro District,Kakamba Subcounty,29759.79
Isingiro District,Rushasha Subcounty,13457.98
Kabale District,Southern Division,21434.3
Kisoro District,Kirundo Subcounty,18415.37
Kabarole District,Ruteete Subcounty,18637.850000000002
Rubirizi District,Rutoto Subcounty,13648.53
Kiruhura District,Kenshunga Subcounty,26138.31
Kyenjojo District,Kisojo Subcounty,22726.95
Rukungiri District,Southern Division,9490.42
Ntoroko District,Kanara Subcounty,8200.86
Rukiga District,Rwamucucu Subcounty,23484.0
Ntungamo District,Rwashamaire Town Council,7939.24
Ntoroko District,Rwebisengo Town Council,3238.32
Isingiro District,Isingiro Town Council,28830.73
Rukungiri District,Bugangari Subcounty,30840.260000000002
Rukungiri District,Bwambara Subcounty,29741.25
Rukiga District,Kamwezi Subcounty,27334.14
Kasese District,Bugoye Subcounty,36596.93
Bushenyi District,Ibaare Subcounty,11931.52
Mayuge District,Jaguzi Subcounty,13613.51
Wakiso District,Kasangati Town Council,293263.66000000003
Kiruhura District,Sanga Town Council,9349.31
Budaka District,Budaka Subcounty,11406.220000000001
Mukono District,Nakisunga Subcounty,99559.8
Wakiso District,Ndejje Division,192591.46
Mpigi District,Kiringente Subcounty,46813.5
Nakaseke District,Semuto Town Council,21982.260000000002
Serere District,Serere Town Council,8879.630000000001
Namayingo District,Buyinja Subcounty,23094.66
Sironko District,Bukiise Subcounty,21154.14
Sheema District,Kagango Division,26551.34
Sheema District,Shuuku Town Council,8269.87
Namayingo District,Sigulu Island Subcounty,16984.7
Mbale District,Bumbobi Subcounty,16842.56
Namayingo District,Lolwe Subcounty,12555.7
Nakaseke District,Kapeeka Subcounty,57335.98
Kyankwanzi District,Ntwetwe Subcounty,36027.340000000004
Sironko District,Sironko Town Council,17616.09
Tororo District,Sop-Sop Subcounty,14803.16
Luwero District,Bamunanika Subcounty,59276.5
Buikwe District,Ssi-Bukunja Subcounty,52649.48
Kalangala District,Mugoye Subcounty,25181.440000000002
Buikwe District,Ssi-Bukunja Subcounty,52649.48
Masaka District,Bukakata Subcounty,36550.58
Lwengo District,Ndagwe Subcounty,79594.28
Kagadi District,Kagadi Town Council,23580.82
Kyotera District,Kasaali Town Council,54697.12
Katakwi District,Usuk Subcounty,21860.72
Tororo District,Eastern Division,19646.22
Wakiso District,Masajja Division,241530.88
Kyankwanzi District,Kyankwanzi Subcounty,14003.880000000001
Rakai District,Kifamba Subcounty,29948.280000000002
Buikwe District,Buikwe Town Council,34080.64
Amuria District,Ogolai Subcounty,14307.73
Sheema District,Masheruka Subcounty,16954.83
Kibaale District,Matale Subcounty,18380.350000000002
Kalangala District,Mugoye Subcounty,25181.440000000002
Mpigi District,Kammengo Subcounty,80181.38
Mityana District,Busimbi Division,88021.74
Kaliro District,Kaliro Town Council,17255.59
Nakasongola District,Migeera Town Council,12069.54
Kampala District,Makindye Division,809596.48
Buikwe District,Nyenga Division,102227.5
Kasese District,Kyarumba Subcounty,43336.22
Mbarara District,Rubaya Subcounty,18792.350000000002
Kiboga District,Bukomero Subcounty,31066.86
Kakumiro District,Bwanswa Subcounty,17102.12
Mubende District,Madudu Subcounty,76007.82
Kalungu District,Kyamulibwa Town Council,9918.9
Kiryandongo District,Kiryandongo Subcounty,82767.71
Katakwi District,Omodoi Subcounty,17374.04
Kampala District,Kawempe Division,697649.9
Luwero District,Kalagala Subcounty,91814.2
Ntungamo District,Kagarama Town Council,11200.220000000001
Kibaale District,Kibaale Town Council,6849.5
Mityana District,Busimbi Division,88021.74
Luwero District,Bombo Town Council,53213.92
Wakiso District,Ndejje Division,192591.46
Serere District,Olio Subcounty,29120.16
Luwero District,Butuntumula Subcounty,72746.84
Kyenjojo District,Kyenjojo Town Council,23648.8
Kiryandongo District,Kigumba Town Council,19183.75
Bukomansimbi District,Bukomansimbi Town Council,19977.88
Bukomansimbi District,Bukomansimbi Town Council,19977.88
Amuria District,Wera Subcounty,24847.72
Kalungu District,Lwabenge Subcounty,70559.12
Mpigi District,Kiringente Subcounty,46813.5
Mityana District,Bulera Subcounty,61851.5
Mityana District,Busunju Town Council,14685.74
Kasese District,Central Division,32662.33
Lwengo District,Kyazanga Subcounty,71630.32
Pallisa District,Pallisa Town Council,34132.14
Rukungiri District,Buhunga Subcounty,22750.64
Kampala District,Kawempe Division,697649.9
Kampala District,Nakawa Division,653067.38
Kyenjojo District,Butunduzi Town Council,14534.33
Wakiso District,Division A,81337.04000000001
Ntoroko District,Kanara Town Council,8227.64
Mukono District,Nama Subcounty,111792.08
Wakiso District,Kasangati Town Council,293263.66000000003
Wakiso District,Division A,81337.04000000001
Masindi District,Central Division,42050.78
Kampala District,Kawempe Division,697649.9
Tororo District,Eastern Division,19646.22
Kiryandongo District,Kiryandongo Subcounty,82767.71
Kapchorwa District,Western Division,20162.25
Soroti District,Katine Subcounty,36124.16
Buikwe District,Nyenga Division,102227.5
Hoima District,Buseruka Subcounty,43780.15
Kabarole District,Kijura Town Council,11053.960000000001
Katakwi District,Toroma Subcounty,12064.39
Tororo District,Eastern Division,19646.22
Tororo District,Osukuru Subcounty,47260.520000000004
Kampala District,Makindye Division,809596.48
Wakiso District,Nansana Division,297649.4
Wakiso District,Gombe Division,157876.34
Buhweju District,Karungu Subcounty,15901.140000000001
Mukono District,Nama Subcounty,111792.08
Bugiri District,Western Division,15370.69
Kalungu District,Kalungu Subcounty,81852.04000000001
Nakasongola District,Wabinyonyi Subcounty,37726.840000000004
Mayuge District,Magamaga Town Council,16853.89
Luwero District,Kikyusa Subcounty,71562.34
Wakiso District,Katabi Town Council,217678.14
Luuka District,Waibuga Subcounty,37724.78
Bugiri District,Bulidha Subcounty,25000.16
Buikwe District,Wakisi Division,84727.8
Wakiso District,Mende Subcounty,54233.62
Wakiso District,Wakiso Subcounty,364166.8
Wakiso District,Wakiso Town Council,124032.6
Wakiso District,Busukuma Division,77723.8
Nakaseke District,Wakyato Subcounty,26747.04
Mbale District,Wanale Subcounty,13699.0
Wakiso District,Kasangati Town Council,293263.66000000003
Kalungu District,Bukulula Subcounty,90407.22
Kampala District,Makindye Division,809596.48
Kiryandongo District,Mutunda Subcounty,65081.58
Bunyangabu District,Kibiito Town Council,13171.640000000001
Wakiso District,Kira Division,124627.94
Luwero District,Zirobwe Subcounty,92683.52
Wakiso District,Bussi Subcounty,32603.620000000003
Kampala District,Kawempe Division,697649.9
Kampala District,Kawempe Division,697649.9
Kampala District,Kawempe Division,697649.9
