Unnamed: 0,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,Agency,"MSM, Male",Transgender,Sex Workers,PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees)",Fishing communities,"Military and other uniformed services (including police, border guards, and security workers),Female","Mobile Populations (e.g., migrant workers, truck drivers)",Non-injecting drug users,Discordant Couples,usaid,cdc,dod,total_facility,total_subcounty,pct_of_subcounty_reached,pct_usaid_subcounty,District,Subcounty,subcounty_pop_adjusted,total,pct_pop_prep
83,Buvuma District,Bweema Subcounty,Namatale HC III,DOD,0.0,0.0,40.0,0.0,0.0,0.0,18.0,253.0,95.0,1.0,24.0,0.0,249.0,3.0,0.0,0.0,4.0,0,0,1,348.0,655.0,0.5312977099236641,0.0,Buvuma District,Bweema Subcounty,18074.44,687.0,0.03800947636551949
84,Buvuma District,Lubya Towncouncil,Lubya HC III,DOD,0.0,0.0,91.0,0.0,0.0,0.0,0.0,215.0,150.0,0.0,27.0,0.0,247.0,0.0,0.0,0.0,0.0,0,0,1,365.0,365.0,1.0,0.0,Buvuma District,Lubya Towncouncil,6651.74,730.0,0.10974572066857695
85,Buvuma District,Lwajje Subcounty,Lwajje HC II,DOD,0.0,0.0,58.0,0.0,0.0,1.0,0.0,319.0,88.0,0.0,9.0,0.0,336.0,0.0,0.0,0.0,0.0,0,0,1,407.0,407.0,1.0,0.0,Buvuma District,Lwajje Subcounty,9047.52,811.0,0.08963782340354041
86,Buvuma District,Lyabaana Town Council,Nkata HC III,DOD,0.0,0.0,41.0,0.0,0.0,0.0,0.0,16.0,302.0,0.0,1.0,0.0,275.0,0.0,0.0,0.0,1.0,0,0,1,318.0,318.0,1.0,0.0,Buvuma District,Lyabaana Town Council,29095.44,636.0,0.021859095445884304
87,Buvuma District,Nairambi Subcounty,Lukale HC II,DOD,0.0,0.0,19.0,0.0,0.0,0.0,0.0,434.0,61.0,0.0,8.0,0.0,468.0,0.0,0.0,0.0,0.0,0,0,1,495.0,495.0,1.0,0.0,Buvuma District,Nairambi Subcounty,39825.98,990.0,0.024858145361394746
88,Dokolo District,Dokolo Town Council,Dokolo HC IV,USAID,0.0,0.0,276.0,0.0,0.0,0.0,0.0,28.0,272.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,1,0,0,300.0,300.0,1.0,1.0,Dokolo District,Dokolo Town Council,16322.41,586.0,0.03590156110525345
89,Fort Portal City,Fort Portal Central Division,Fort Portal Regional Referral Hospital,CDC,4.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,32.0,700.0,0.0457142857142857,0.0,Fort Portal City,Fort Portal Central Division,55399.58,64.0,0.0011552434152027867
90,Fort Portal City,Fort Portal Central Division,Kabarole COU Hospital,CDC,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,1,0,24.0,700.0,0.0342857142857142,0.0,Fort Portal City,Fort Portal Central Division,55399.58,42.0,0.0007581284912268288
91,Fort Portal City,Fort Portal Central Division,Kagote HC III,CDC,106.0,1.0,140.0,5.0,0.0,0.0,0.0,0.0,325.0,14.0,45.0,0.0,0.0,1.0,9.0,1.0,0.0,0,1,0,325.0,700.0,0.4642857142857143,0.0,Fort Portal City,Fort Portal Central Division,55399.58,647.0,0.011678788900565671
92,Fort Portal City,Fort Portal Central Division,Kasusu HC III,CDC,12.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,40.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0,1,0,41.0,700.0,0.0585714285714285,0.0,Fort Portal City,Fort Portal Central Division,55399.58,76.0,0.0013718515555533092
93,Fort Portal City,Fort Portal Central Division,Kataraka HC IV,CDC,70.0,0.0,109.0,13.0,0.0,0.0,0.0,0.0,266.0,4.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1,0,266.0,700.0,0.38,0.0,Fort Portal City,Fort Portal Central Division,55399.58,533.0,0.009621011567235709
94,Fort Portal City,Fort Portal Central Division,Mucwa HC III,CDC,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,7.0,700.0,0.01,0.0,Fort Portal City,Fort Portal Central Division,55399.58,14.0,0.00025270949707560956
95,Fort Portal City,Fort Portal Central Division,Virika Hospital,CDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0,1,0,5.0,700.0,0.0071428571428571,0.0,Fort Portal City,Fort Portal Central Division,55399.58,10.0,0.0001805067836254354
96,Fort Portal City,Fort Portal North Division,Bukuku HC IV,CDC,30.0,0.0,201.0,4.0,0.0,0.0,0.0,0.0,311.0,0.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,311.0,362.0,0.8591160220994475,0.0,Fort Portal City,Fort Portal North Division,,617.0,
97,Fort Portal City,Fort Portal North Division,Karambi (Kabarole) HC III,CDC,2.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,51.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,51.0,362.0,0.1408839779005525,0.0,Fort Portal City,Fort Portal North Division,,102.0,
98,Gomba District,Kanoni Town Council,Kanoni HC III,CDC,0.0,0.0,103.0,0.0,0.0,6.0,3.0,78.0,261.0,10.0,30.0,3.0,5.0,0.0,26.0,0.0,59.0,0,1,0,339.0,339.0,1.0,0.0,Gomba District,Kanoni Town Council,25624.34,584.0,0.022790830905303316
99,Gomba District,Kifampa Subcounty,Kifampa HC III,CDC,0.0,0.0,30.0,0.0,0.0,0.0,0.0,13.0,76.0,3.0,8.0,0.0,2.0,0.0,3.0,0.0,26.0,0,1,0,89.0,92.0,0.967391304347826,0.0,Gomba District,Kifampa Subcounty,6046.1,161.0,0.026628735879327167
100,Gomba District,Kifampa Subcounty,Kisozi Health Centre III,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,3.0,92.0,0.0326086956521739,0.0,Gomba District,Kifampa Subcounty,6046.1,6.0,0.0009923752501612608
101,Gomba District,Kyegonza Subcounty,Rapha Medical HC III,CDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,5.0,0.0,13.0,1.0,0.0,0,1,0,31.0,31.0,1.0,0.0,Gomba District,Kyegonza Subcounty,62294.4,52.0,0.0008347459803770483
102,Gomba District,Maddu Town Council,Maddu HC IV,CDC,0.0,0.0,190.0,0.0,0.0,0.0,0.0,8.0,371.0,0.0,94.0,0.0,34.0,0.0,6.0,0.0,35.0,0,1,0,379.0,379.0,1.0,0.0,Gomba District,Maddu Town Council,26268.09,738.0,0.028094924297883857
103,Gomba District,Mpenja Subcounty,Mpenja HC III,CDC,27.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,190.0,43.0,3.0,1.0,8.0,5.0,10.0,7.0,48.0,0,1,0,192.0,192.0,1.0,0.0,Gomba District,Mpenja Subcounty,65779.92,355.0,0.005396783699341684
104,Gulu City,Bar-Dege Layibi Division,Layibi Techo HC III,USAID,6.0,5.0,763.0,74.0,11.0,0.0,0.0,0.0,1548.0,102.0,97.0,0.0,0.0,44.0,45.0,100.0,2.0,1,0,0,1548.0,1554.0,0.996138996138996,1.0,Gulu City,Bar-Dege Layibi Division,79852.81,2797.0,0.035026945200801324
105,Gulu City,Bar-Dege Layibi Division,St. Mary's Hospital Lacor,USAID,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1,0,0,6.0,1554.0,0.0038610038610038,1.0,Gulu City,Bar-Dege Layibi Division,79852.81,12.0,0.00015027648995695958
106,Gulu City,Laroo Pece Division,Aywee HC III,USAID,37.0,7.0,477.0,13.0,0.0,0.0,0.0,0.0,853.0,12.0,23.0,0.0,0.0,0.0,14.0,185.0,0.0,1,0,0,853.0,2010.0,0.4243781094527363,1.0,Gulu City,Laroo Pece Division,28132.39,1621.0,0.05762041547127706
107,Gulu City,Laroo Pece Division,Gulu Regional Referral Hospital,USAID,86.0,0.0,463.0,7.0,0.0,0.0,0.0,56.0,558.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,43.0,1,0,0,614.0,2010.0,0.3054726368159204,1.0,Gulu City,Laroo Pece Division,28132.39,1224.0,0.04350856788207472
108,Gulu City,Laroo Pece Division,TASO Gulu Special Clinic,USAID,18.0,0.0,156.0,80.0,0.0,1.0,3.0,92.0,451.0,35.0,50.0,1.0,0.0,5.0,55.0,70.0,33.0,1,0,0,543.0,2010.0,0.2701492537313433,1.0,Gulu City,Laroo Pece Division,28132.39,1050.0,0.037323526369426846
109,Gulu District,Awach Subcounty,Awach HC IV,USAID,0.0,0.0,540.0,3.0,0.0,0.0,0.0,3.0,758.0,1.0,30.0,0.0,0.0,2.0,69.0,126.0,14.0,1,0,0,761.0,761.0,1.0,1.0,Gulu District,Awach Subcounty,19474.21,1546.0,0.07938704573895423
110,Hoima City,Hoima East Division,Buhanika HC III,CDC,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,4.0,1424.0,0.0028089887640449,0.0,Hoima City,Hoima East Division,42730.58,8.0,0.00018721955096326798
111,Hoima City,Hoima East Division,Hoima Police HC III,CDC,2.0,0.0,217.0,1.0,0.0,3.0,5.0,1.0,567.0,96.0,160.0,0.0,0.0,3.0,18.0,3.0,0.0,0,1,0,568.0,1424.0,0.398876404494382,0.0,Hoima City,Hoima East Division,42730.58,1076.0,0.025181029604559545
112,Hoima City,Hoima East Division,Hoima Regional Referral Hospital,CDC,61.0,17.0,584.0,1.0,0.0,0.0,0.0,4.0,848.0,1.0,146.0,0.0,3.0,2.0,17.0,0.0,7.0,0,1,0,852.0,1424.0,0.598314606741573,0.0,Hoima City,Hoima East Division,42730.58,1691.0,0.03957353258486077
113,Hoima City,Hoima West Division,Azur HC IV,CDC,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,73.0,0.0,8.0,0.0,17.0,0.0,0.0,0.0,1.0,0,1,0,74.0,163.0,0.4539877300613497,0.0,Hoima City,Hoima West Division,60371.39,146.0,0.002418364062845
114,Hoima City,Hoima West Division,Bujumbura HC III,CDC,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,89.0,163.0,0.5460122699386503,0.0,Hoima City,Hoima West Division,60371.39,178.0,0.0029484164601808905
115,Hoima District,Buhanika Subcounty,Butema HC III,CDC,0.0,0.0,368.0,1.0,0.0,1.0,0.0,2.0,421.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,423.0,423.0,1.0,0.0,Hoima District,Buhanika Subcounty,14597.16,848.0,0.05809349215874869
116,Hoima District,Buseruka Subcounty,Buseruka HC III,CDC,0.0,0.0,59.0,0.0,6.0,0.0,0.0,34.0,116.0,0.0,74.0,0.0,1.0,4.0,0.0,2.0,2.0,0,1,0,150.0,150.0,1.0,0.0,Hoima District,Buseruka Subcounty,43780.15,298.0,0.006806737756723081
117,Hoima District,Kigorobya Town Council,Kigorobya HC IV,CDC,0.0,0.0,107.0,0.0,0.0,1.0,2.0,1.0,231.0,40.0,18.0,0.0,33.0,0.0,5.0,0.0,12.0,0,1,0,232.0,232.0,1.0,0.0,Hoima District,Kigorobya Town Council,6020.35,450.0,0.07474648483892132
118,Hoima District,Kitoba Subcounty,Dwoli HC III,CDC,0.0,0.0,467.0,0.0,0.0,0.0,0.0,34.0,704.0,5.0,221.0,0.0,0.0,0.0,33.0,0.0,0.0,0,1,0,738.0,738.0,1.0,0.0,Hoima District,Kitoba Subcounty,35854.3,1464.0,0.040831922530909816
119,Hoima District,Kyabigambire Subcounty,Mparangasi HC III,CDC,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4.0,82.0,18.0,22.0,0.0,1.0,1.0,6.0,0.0,3.0,0,1,0,86.0,86.0,1.0,0.0,Hoima District,Kyabigambire Subcounty,42208.37,164.0,0.003885485272233919
120,Ibanda District,Bufunda Division,Bufunda HC III,USAID,0.0,0.0,515.0,0.0,0.0,1.0,0.0,41.0,679.0,5.0,158.0,1.0,0.0,0.0,0.0,0.0,20.0,1,0,0,720.0,720.0,1.0,1.0,Ibanda District,Bufunda Division,39188.41,1420.0,0.03623520321441977
121,Ibanda District,Ishongororo Town Council,Ishongororo HC IV,USAID,0.0,0.0,77.0,0.0,0.0,0.0,0.0,6.0,117.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,14.0,1,0,0,123.0,123.0,1.0,1.0,Ibanda District,Ishongororo Town Council,22925.74,246.0,0.01073029703730392
122,Ibanda District,Kagango Division,Ibanda Hospital,USAID,0.0,0.0,44.0,4.0,0.0,0.0,0.0,0.0,168.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,168.0,619.0,0.27140549273021,1.0,Ibanda District,Kagango Division,36275.57,332.0,0.009152164941860321
123,Ibanda District,Kagango Division,Ruhoko HC IV,USAID,0.0,0.0,219.0,0.0,0.0,0.0,0.0,206.0,245.0,4.0,90.0,0.0,0.0,0.0,0.0,1.0,35.0,1,0,0,451.0,619.0,0.72859450726979,1.0,Ibanda District,Kagango Division,36275.57,800.0,0.022053409498458604
124,Iganga District,Central Division,Iganga Hospital,USAID,0.0,0.0,38.0,0.0,0.0,2.0,1.0,26.0,76.0,0.0,23.0,0.0,0.0,0.0,5.0,0.0,23.0,1,0,0,102.0,606.0,0.1683168316831683,1.0,Iganga District,Central Division,31358.35,194.0,0.0061865499938612845
125,Iganga District,Central Division,Iganga Islamic Medical Centre HC III,USAID,2.0,0.0,181.0,0.0,0.0,0.0,0.0,13.0,491.0,3.0,34.0,0.0,1.0,3.0,68.0,3.0,1.0,1,0,0,504.0,606.0,0.8316831683168316,1.0,Iganga District,Central Division,31358.35,800.0,0.025511546366438285
126,Iganga District,Nabitende Subcounty,Bugono HC IV,USAID,0.0,0.0,89.0,0.0,0.0,0.0,0.0,133.0,111.0,3.0,9.0,0.0,11.0,3.0,94.0,26.0,6.0,1,0,0,244.0,244.0,1.0,1.0,Iganga District,Nabitende Subcounty,29132.52,485.0,0.016648062028276303
127,Iganga District,Nakalama Subcounty,Nakalama HC III,USAID,0.0,0.0,201.0,0.0,0.0,0.0,0.0,175.0,171.0,0.0,62.0,0.0,22.0,6.0,41.0,3.0,0.0,1,0,0,346.0,346.0,1.0,1.0,Iganga District,Nakalama Subcounty,47777.58,681.0,0.014253547375149599
128,Iganga District,Nakigo Subcounty,Busowobi HC III,USAID,0.0,0.0,16.0,0.0,0.0,0.0,0.0,51.0,135.0,22.0,1.0,0.0,36.0,0.0,60.0,0.0,1.0,1,0,0,186.0,186.0,1.0,1.0,Iganga District,Nakigo Subcounty,40457.37,322.0,0.00795899486298788
129,Iganga District,Nambale Subcounty,Nambale HC III,USAID,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,81.0,81.0,1.0,1.0,Iganga District,Nambale Subcounty,48039.2,161.0,0.0033514296657729523
130,Iganga District,Namungalwe Town Council,Namungalwe HC III,USAID,0.0,0.0,270.0,0.0,0.0,28.0,9.0,166.0,234.0,5.0,8.0,0.0,0.0,0.0,57.0,0.0,4.0,1,0,0,400.0,400.0,1.0,1.0,Iganga District,Namungalwe Town Council,38292.31,781.0,0.020395740032398153
131,Iganga District,Northern Division,Iganga Town Council HC III,USAID,97.0,0.0,348.0,1.0,0.0,2.0,1.0,315.0,250.0,5.0,61.0,0.0,0.0,2.0,22.0,0.0,8.0,1,0,0,565.0,565.0,1.0,1.0,Iganga District,Northern Division,25562.54,1112.0,0.04350115442362144
132,Isingiro District,Endiinzi Town Council,Endiizi HC III,USAID,0.0,0.0,252.0,0.0,0.0,12.0,0.0,147.0,321.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,33.0,1,0,0,468.0,468.0,1.0,1.0,Isingiro District,Endiinzi Town Council,7516.94,852.0,0.11334399369956392
133,Isingiro District,Isingiro Town Council,Rwekubo HC IV,USAID,0.0,0.0,661.0,0.0,0.0,14.0,0.0,23.0,722.0,5.0,22.0,0.0,17.0,3.0,8.0,0.0,13.0,1,0,0,745.0,745.0,1.0,1.0,Isingiro District,Isingiro Town Council,28830.73,1488.0,0.05161159637650521
134,Isingiro District,Kabuyanda Town Council,Kabuyanda HC IV,USAID,0.0,0.0,200.0,0.0,0.0,7.0,4.0,59.0,357.0,3.0,161.0,0.0,0.0,3.0,20.0,0.0,5.0,1,0,0,416.0,416.0,1.0,1.0,Isingiro District,Kabuyanda Town Council,16867.28,819.0,0.04855554659672455
135,Isingiro District,Kashumba Subcounty,Juru Health Centre III,USAID,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,9.0,83.0,0.108433734939759,1.0,Isingiro District,Kashumba Subcounty,4636.03,18.0,0.003882632338444747
136,Isingiro District,Kashumba Subcounty,Nakivale HC III,USAID,0.0,0.0,43.0,0.0,0.0,0.0,0.0,2.0,72.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,74.0,83.0,0.891566265060241,1.0,Isingiro District,Kashumba Subcounty,4636.03,144.0,0.031061058707557977
137,Isingiro District,Kikagate Town Council,Kikagate HC III,USAID,0.0,0.0,351.0,0.0,0.0,0.0,0.0,364.0,3.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,1,0,0,367.0,367.0,1.0,1.0,Isingiro District,Kikagate Town Council,52046.93,734.0,0.014102656967471473
138,Isingiro District,Rugaaga Town Council,Rugaaga HC IV,USAID,0.0,0.0,297.0,0.0,0.0,0.0,0.0,55.0,359.0,4.0,39.0,0.0,0.0,0.0,48.0,0.0,7.0,1,0,0,414.0,414.0,1.0,1.0,Isingiro District,Rugaaga Town Council,34005.450000000004,809.0,0.023790304201238326
139,Jinja City,Jinja North Division,Aoet Health Centre II,USAID,0.0,0.0,38.0,0.0,0.0,0.0,0.0,41.0,30.0,0.0,1.0,0.0,11.0,0.0,5.0,4.0,0.0,1,0,0,71.0,668.0,0.1062874251497006,1.0,Jinja City,Jinja North Division,56362.630000000005,130.0,0.0023064927949600646
140,Jinja City,Jinja North Division,Budondo HC IV,USAID,8.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,162.0,9.0,0.0,0.0,18.0,0.0,59.0,0.0,2.0,1,0,0,162.0,668.0,0.2425149700598802,1.0,Jinja City,Jinja North Division,56362.630000000005,319.0,0.00565977847378662
141,Jinja City,Jinja North Division,Bugembe HC IV,USAID,40.0,47.0,219.0,3.0,1.0,1.0,11.0,9.0,426.0,30.0,12.0,0.0,20.0,2.0,28.0,1.0,0.0,1,0,0,435.0,668.0,0.6511976047904192,1.0,Jinja City,Jinja North Division,56362.630000000005,850.0,0.015080914428585038
142,Jinja City,Jinja South Division,Gaddafi Barracks Health Centre III,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,75.0,1607.0,0.0466708151835718,0.953329184816428,Jinja City,Jinja South Division,22111.01,150.0,0.0067839506200757
143,Jinja City,Jinja South Division,Jinja Regional Referral Hospital,USAID,148.0,0.0,719.0,50.0,0.0,0.0,0.0,2.0,1006.0,3.0,2.0,0.0,36.0,7.0,31.0,0.0,0.0,1,0,0,1008.0,1607.0,0.627255756067206,0.953329184816428,Jinja City,Jinja South Division,22111.01,2004.0,0.09063358028421135
144,Jinja City,Jinja South Division,Mpumudde HC IV,USAID,12.0,9.0,27.0,1.0,0.0,0.0,0.0,0.0,102.0,1.0,6.0,0.0,2.0,0.0,38.0,0.0,0.0,1,0,0,102.0,1607.0,0.0634723086496577,0.953329184816428,Jinja City,Jinja South Division,22111.01,198.0,0.008954814818499924
145,Jinja City,Jinja South Division,TASO Jinja Special Clinic,USAID,0.0,0.0,6.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,18.0,1,0,0,35.0,1607.0,0.0217797137523335,0.953329184816428,Jinja City,Jinja South Division,22111.01,65.0,0.0029397119353661368
146,Jinja City,Jinja South Division,Walukuba HC IV,USAID,11.0,13.0,66.0,12.0,0.0,0.0,0.0,0.0,387.0,40.0,10.0,0.0,16.0,49.0,126.0,1.0,2.0,1,0,0,387.0,1607.0,0.2408214063472308,0.953329184816428,Jinja City,Jinja South Division,22111.01,733.0,0.03315090536343659
147,Jinja District,Buwenge Town Council,Buwenge HC IV,USAID,0.0,0.0,123.0,0.0,0.0,0.0,0.0,26.0,171.0,11.0,43.0,0.0,1.0,1.0,8.0,5.0,1.0,1,0,0,197.0,361.0,0.5457063711911357,1.0,Jinja District,Buwenge Town Council,22789.78,390.0,0.017112933955483554
148,Jinja District,Buwenge Town Council,Buwenge Ngo Hospital,USAID,0.0,0.0,111.0,3.0,0.0,0.0,0.0,78.0,86.0,1.0,24.0,0.0,0.0,0.0,14.0,2.0,2.0,1,0,0,164.0,361.0,0.4542936288088642,1.0,Jinja District,Buwenge Town Council,22789.78,321.0,0.014085261024898004
149,Jinja District,Kakira Town Council,Kakira HC III,USAID,0.0,0.0,121.0,1.0,0.0,0.0,0.0,16.0,316.0,0.0,31.0,0.0,42.0,0.0,119.0,0.0,0.0,1,0,0,332.0,332.0,1.0,1.0,Jinja District,Kakira Town Council,33673.79,646.0,0.01918405976874002
150,Kabale District,Central Division,Kabale Regional Referral Hospital,USAID,0.0,0.0,15.0,0.0,0.0,0.0,0.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,1,0,0,49.0,105.0,0.4666666666666667,1.0,Kabale District,Central Division,16366.7,94.0,0.005743369158107621
151,Kabale District,Central Division,Kihefo Clinic,USAID,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,25.0,0.0,0.0,0.0,8.0,0.0,0.0,1,0,0,56.0,105.0,0.5333333333333333,1.0,Kabale District,Central Division,16366.7,103.0,0.006293266205160478
152,Kabale District,Katuna Town Council,Kamuganguzi HC III,USAID,0.0,0.0,480.0,52.0,0.0,8.0,0.0,27.0,687.0,39.0,27.0,0.0,0.0,0.0,7.0,23.0,0.0,1,0,0,714.0,714.0,1.0,1.0,Kabale District,Katuna Town Council,10370.04,1350.0,0.13018271867803788
153,Kabale District,Northern Division,Rugarama Hospital,USAID,0.0,0.0,182.0,0.0,0.0,0.0,0.0,252.0,22.0,10.0,21.0,0.0,0.0,0.0,9.0,0.0,35.0,1,0,0,274.0,274.0,1.0,1.0,Kabale District,Northern Division,12860.58,531.0,0.041288962084136176
154,Kabale District,Southern Division,AIDS Information Centre (Kabale) Special Clinic,USAID,10.0,0.0,51.0,0.0,0.0,0.0,0.0,2.0,140.0,2.0,48.0,0.0,0.0,0.0,21.0,1.0,0.0,1,0,0,142.0,987.0,0.14387031408308,0.9017223910840932,Kabale District,Southern Division,21434.3,275.0,0.012829903472471694
155,Kabale District,Southern Division,Kamukira HC IV,USAID,13.0,1.0,227.0,1.0,0.0,59.0,0.0,186.0,562.0,85.0,119.0,0.0,0.0,4.0,28.0,0.0,3.0,1,0,0,748.0,987.0,0.7578520770010132,0.9017223910840932,Kabale District,Southern Division,21434.3,1288.0,0.06009060244561287
156,Kabale District,Southern Division,Ndorwa Prisons Health Centre II,,0.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,97.0,987.0,0.0982776089159067,0.9017223910840932,Kabale District,Southern Division,21434.3,194.0,0.009050913722398213
157,Kabarole District,Busoro Subcounty,Kaswa HC III,CDC,16.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,97.0,8.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0,1,0,97.0,97.0,1.0,0.0,Kabarole District,Busoro Subcounty,26763.52,194.0,0.00724867282031661
158,Kabarole District,Hakibaale Town Council,Kijura HC III,CDC,50.0,0.0,209.0,8.0,0.0,0.0,0.0,0.0,373.0,14.0,74.0,0.0,0.0,1.0,10.0,0.0,1.0,0,1,0,373.0,373.0,1.0,0.0,Kabarole District,Hakibaale Town Council,37466.25,740.0,0.01975110933173189
159,Kabarole District,Kasenda Subcounty,Kasenda HC III,CDC,8.0,3.0,76.0,6.0,0.0,0.0,0.0,0.0,114.0,1.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0,1,0,114.0,114.0,1.0,0.0,Kabarole District,Kasenda Subcounty,24812.7,226.0,0.009108238926033844
160,Kabarole District,Kichwamba Subcounty,Kicwamba HC III,CDC,12.0,1.0,87.0,4.0,0.0,0.0,0.0,0.0,129.0,6.0,13.0,0.0,0.0,2.0,4.0,0.0,0.0,0,1,0,129.0,129.0,1.0,0.0,Kabarole District,Kichwamba Subcounty,17140.23,258.0,0.015052306766011892
161,Kabarole District,Mugusu Town Council,Mugusu HC III,CDC,41.0,0.0,133.0,6.0,0.0,0.0,0.0,0.0,281.0,7.0,90.0,0.0,0.0,1.0,3.0,0.0,0.0,0,1,0,281.0,281.0,1.0,0.0,Kabarole District,Mugusu Town Council,10624.45,562.0,0.05289685583724334
162,Kabarole District,Ruteete Subcounty,Ruteete HC III,CDC,14.0,10.0,62.0,6.0,0.0,0.0,0.0,0.0,107.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,107.0,107.0,1.0,0.0,Kabarole District,Ruteete Subcounty,18637.85,213.0,0.011428356811542105
163,Kaberamaido District,Ochero Subcounty,Ochero HC III,CDC,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,7.0,0.0,53.0,0.0,1.0,0.0,1.0,0,1,0,64.0,64.0,1.0,0.0,Kaberamaido District,Ochero Subcounty,26899.48,128.0,0.004758456297296453
164,Kagadi District,Kagadi Town Council,Kagadi Hospital,CDC,0.0,0.0,278.0,0.0,0.0,0.0,0.0,116.0,517.0,182.0,108.0,0.0,0.0,5.0,0.0,0.0,55.0,0,1,0,633.0,633.0,1.0,0.0,Kagadi District,Kagadi Town Council,23580.82,1261.0,0.05347566369617342
165,Kagadi District,Kyanaisoke Subcounty,Isunga HC III,CDC,0.0,0.0,45.0,0.0,0.0,0.0,0.0,10.0,44.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,54.0,54.0,1.0,0.0,Kagadi District,Kyanaisoke Subcounty,15780.63,103.0,0.006526989099928203
166,Kagadi District,Kyaterekera Subcounty,Kyaterekera HC III,CDC,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,539.0,24.0,35.0,0.0,276.0,0.0,0.0,0.0,1.0,0,1,0,539.0,539.0,1.0,0.0,Kagadi District,Kyaterekera Subcounty,25010.46,1076.0,0.0430219995953693
167,Kagadi District,Mabaale Town Council,Mabaale HC III,CDC,2.0,0.0,38.0,1.0,0.0,6.0,0.0,14.0,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,56.0,56.0,1.0,0.0,Kagadi District,Mabaale Town Council,26268.09,111.0,0.004225659345616678
