,,,,,,,,,,,,,,,,,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV2,PP_PREV3,PP_PREV4,PP_PREV5,PP_PREV6,PP_PREV7,PP_PREV8,PP_PREV9,PP_PREV10,PP_PREV11,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
Lango,Apac District,Ibuje Subcounty,Ibuje HC III,M8mSJi1Qcah,,b6U3xeFeqeB,sCPqcDvaqoP,Ibuje Subcounty,M8mSJi1Qcah,Apac District,Ibuje Town Council,Ibuje HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,TRUE
Lango,Oyam District,Iceme Subcounty,Iceme HC III (Iceme Subcounty),OYENvTcFrXW,,PEOT4jImyia,ZE7VDTu0IAe,Iceme Subcounty,OYENvTcFrXW,Oyam District,Iceme Subcounty,Iceme HC III (Iceme Subcounty),UPMB_LSD,81995,USAID,FY2024Q4,88,,,3,2,6,2,,19,1,18,1,9,,13,1,7,3,3,,,84,,1,,64,,9,,2,13,4,,7,64,,9,,,2,2,3,0,4,64,0,9,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,85,,84,,1,84,2,2,2,0,0,0,TRUE
Busoga,Iganga District,Central Division (Iganga MC),Iganga Hospital,EKPCmrHaBSg,,wIhR11t4op4,Jlo8knmQ7Cq,Central Division,EKPCmrHaBSg,Iganga District,Central Division,Iganga Hospital,MJAP_East Central Region,82000,USAID,FY2024Q4,21,,,,2,1,1,,1,2,1,1,3,3,,1,3,,2,,,37,,,,,,4,,,33,2,,24,,,3,1,,,7,2,0,24,0,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,,37,,,37,0,0,0,0,0,0,FALSE
Busoga,Iganga District,Central Division (Iganga MC),Iganga Islamic Medical Centre HC III,aElqyBOYxsd,,YwY8Pc0mgez,Jlo8knmQ7Cq,Central Division,aElqyBOYxsd,Iganga District,Central Division,Iganga Islamic Medical Centre HC III,UPMB_LSD,81995,USAID,FY2024Q4,477,,,19,15,72,8,21,126,6,73,6,50,5,28,3,20,5,20,,53,435,,1,,111,3,241,3,8,116,2,,5,111,3,98,143,3,8,109,2,0,5,86,3,85,137,3,7,107,0,0,0,2,0,0,5,0,0,3,0,0,0,1,0,0,6,0,0,2,0,0,0,9,0,7,9,0,1,3,0,0,0,21,0,0,4,0,1,4,0,0,0,20,0,12,4,0,1,4,0,0,0,20,0,12,4,0,1,4,477,489,53,435,,1,435,10,9,29,30,41,41,FALSE
Busoga,Iganga District,Northern Division (Iganga MC),Iganga Town Council HC III,M6qnxgpeCA4,,pEwjK8RiDAC,PJt5m2PAZtP,Northern Division,M6qnxgpeCA4,Iganga District,Northern Division,Iganga Town Council HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,266,1,,9,19,50,33,6,63,2,45,5,16,1,6,1,7,1,1,,13,313,,,,176,4,45,,8,92,46,,18,176,4,18,27,,8,28,46,0,18,169,4,13,27,0,8,28,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,6,0,5,0,0,0,0,266,326,13,313,,,313,2,1,4,6,11,11,FALSE
Bunyoro,Kakumiro District,Igayaza Town Council,Igayaza HC II,QP3xbv4C32B,,pwFOHEVyORB,WReaeZYVxWK,Igayaza Town Council,QP3xbv4C32B,Kakumiro District,Igayaza Town Council,Igayaza HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,230,,1,12,46,24,73,10,16,7,20,4,6,2,4,1,1,1,2,,24,205,,,,132,,1,,,95,68,,17,132,,,1,,,10,68,0,5,130,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,230,229,24,205,,,203,2,2,5,4,2,2,FALSE
Ankole,Bushenyi District,Ishaka Division,Ishaka Adventist Hospital,H61tgLIphOZ,,AAFdCDmOky7,NZxlW2ODuWs,Ishaka Division,H61tgLIphOZ,Bushenyi District,Ishaka Division,Ishaka Adventist Hospital,UPMB_LSD,81995,USAID,FY2024Q4,482,2,,20,25,83,15,16,122,12,83,7,41,2,29,2,18,1,4,,7,474,,,,53,48,229,3,78,72,21,,33,53,48,175,54,3,78,18,20,0,32,53,48,174,53,3,80,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,482,481,7,474,,,480,1,1,1,3,3,3,FALSE
Ankole,Ibanda District,Ishongororo Town Council,Ishongororo HC IV,LwODrFWsUAR,,VxRuuz4gvZF,k0qi9AipmQt,Ishongororo Town Council,LwODrFWsUAR,Ibanda District,Ishongororo Town Council,Ishongororo HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,19,,,2,1,5,1,,2,1,2,,2,,,,,,3,,,22,,,,18,,0,,,8,,,6,18,,,,,,2,0,0,6,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,,22,,,22,0,0,0,0,0,0,FALSE
Bunyoro,Kagadi District,Kyanaisoke Subcounty,Isunga HC III,v7vSvHb7QUU,,gig9MRSL4oe,xfQICrzB2K8,Kyanaisoke Subcounty,v7vSvHb7QUU,Kagadi District,Kyanaisoke Subcounty,Isunga HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,12,,,1,4,,1,,1,,1,1,1,,2,,,,,,10,4,,1,,5,,1,,,6,,,1,5,,,1,,,5,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,5,12,15,10,4,,1,4,2,2,9,7,7,7,TRUE
Busoga,Mayuge District,Jagusi Subcounty,Jagusi HC III,xvsvbPNHC2I,,VlRaxicEIX4,ohpwDqnCHfy,Jaguzi Subcounty,xvsvbPNHC2I,Mayuge District,Jaguzi Subcounty,Jagusi HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,502,,,2,55,75,58,27,67,31,66,19,58,4,22,1,10,1,6,,2,386,,18,,110,,41,169,90,92,84,,,110,,41,,169,90,8,77,0,0,83,0,31,0,121,66,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,502,406,2,386,,18,386,0,0,0,4,2,2,TRUE
Busoga,Jinja City,Central Division (Jinja MC),Jinja Central HC III,JMmqH0e4HlX,,cYehP6lA6PO,CZJfhJZ7p98,Central Division (Jinja MC),JMmqH0e4HlX,Jinja City,Jinja South Division,Jinja Central HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,133,,,4,3,7,5,7,18,8,16,8,23,3,8,1,3,8,11,,1,159,,,,27,1,76,54,,2,,,,27,1,61,15,54,,2,0,0,0,27,1,59,15,54,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,160,1,159,,,158,2,2,0,0,0,0,FALSE
Busoga,Jinja City,Walukuba Masese Division,Jinja Main Prison HC III,aITcTSaL6bT,,kK5E7ivxmfM,boB17PVwJ05,Walukuba Masese Division,aITcTSaL6bT,Jinja City,Jinja South Division,Jinja Main Prison HC III,UPS,84974,CDC,FY2024Q4,38,,1,1,4,1,3,3,8,6,3,1,3,,3,,,,1,,,26,,4,,,23,0,3,,11,4,,,,23,,,3,,7,4,0,0,0,15,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,,26,,4,25,0,0,0,0,0,0,FALSE
Busoga,Jinja City,Central Division (Jinja MC),Jinja Regional Referral Hospital,SZS6IdnTKZR,,abQyYyzW2ae,CZJfhJZ7p98,Central Division (Jinja MC),SZS6IdnTKZR,Jinja City,Jinja South Division,Jinja Regional Referral Hospital,G2G Jinja,160728,USAID,FY2024Q4,301,1,,4,13,48,2,21,53,8,49,4,22,4,25,5,14,2,26,,,301,,,,13,10,95,158,,26,9,,14,13,10,60,35,158,,3,9,0,14,13,10,60,35,157,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,301,,301,,,301,0,0,0,0,0,0,FALSE
Busoga,Jinja City,Walukuba Masese Division,Jinja Remand Prison HC III,zMdacW81fkW,,FCgqb75hKdz,boB17PVwJ05,Walukuba Masese Division,zMdacW81fkW,Jinja City,Jinja South Division,Jinja Remand Prison HC III,UPS,84974,CDC,FY2024Q4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,TRUE
Busoga,Jinja City,Walukuba Masese Division,Jinja Women Prison HC II,pD5pZOpv10T,,RonOus42rBy,boB17PVwJ05,Walukuba Masese Division,pD5pZOpv10T,Jinja City,Jinja South Division,Jinja Women Prison HC II,UPS,84974,CDC,FY2024Q4,3,,,,1,,,2,,,,,,,,,,,,,,3,,,,,3,0,,,0,,,,,3,,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,3,,,3,0,0,0,0,0,0,TRUE
South Central,Wakiso District,Ndejje Division,Joint Clinical Research Center (JCRC) HC IV,CVoWcUh5ZPP,,jf1NK6hc2Ev,mWR2QtvvKwe,Ndejje Division,CVoWcUh5ZPP,Wakiso District,Ndejje Division,Joint Clinical Research Center (JCRC) HC IV,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,"1,541",,,20,255,186,106,76,217,35,213,31,142,21,98,22,52,15,52,,217,1353,,,1,320,66,444,23,116,569,345,1,120,320,66,316,128,23,116,104,302,0,116,282,57,255,119,22,105,100,7,0,0,9,1,6,2,1,6,0,7,0,0,9,1,6,2,1,6,0,46,0,2,26,8,38,6,1,14,0,27,0,1,21,8,1,2,1,7,1,27,0,1,21,8,31,2,1,7,1,25,0,1,21,8,30,2,1,6,1,"1,541","1,570",217,"1,353",,,"1,358",32,32,141,69,99,95,FALSE
Kampala,Kampala District,Rubaga Division,Joy Medical Centre HC III,O2ISli6TrDu,,jRxf3nT5p2j,GJVP29H1Izy,Lubaga Division,O2ISli6TrDu,Kampala District,Lubaga Division,Joy Medical Centre HC III,UPMB,84980,CDC,FY2024Q4,232,,,9,9,38,10,3,50,5,39,6,26,3,17,1,9,1,6,,43,192,,,,62,9,46,1,76,38,16,,22,62,9,37,9,1,76,,10,0,12,62,7,24,2,0,75,0,3,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,1,0,6,0,6,0,1,8,4,0,1,0,5,0,4,0,0,0,3,0,1,0,5,0,4,0,0,5,3,0,1,0,3,0,2,0,0,4,2,0,1,0,232,235,43,192,,,192,5,5,26,13,18,12,TRUE
Ankole,Isingiro District,Kashumba Subcounty,Juru HC II,au6l6u0QySf,,RjRY9WVFsHV,cbaK43bWWa6,Kashumba Subcounty,au6l6u0QySf,Isingiro District,Kashumba Subcounty,Juru HC III,STATE_UNHCR,13002,STATE,FY2024Q4,13,,,,2,1,2,1,2,,1,1,,,1,,,1,1,,,14,,,,,,0,3,,11,2,,9,,,,,3,,,2,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,,14,,,14,0,0,0,0,0,0,FALSE
Kigezi,Kabale District,Central Division (Kabale MC),Kabale Regional Referral Hospital,K2BGHpaUluP,,UoY4fvkmhMG,BZsqUUBTFzn,Central Division,K2BGHpaUluP,Kabale District,Central Division,Kabale Regional Referral Hospital,G2G Kabale,87627,USAID,FY2024Q4,215,,1,10,3,31,,8,45,10,38,5,25,3,12,8,5,2,9,,2,342,,,,1,,209,,,134,25,,105,1,,143,66,,,4,25,0,105,1,0,141,66,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,215,344,2,342,,,342,0,0,0,0,2,2,FALSE
North Central,Mukono District,Mpatta Subcounty,Kabanga HC III,hFO29Yr6ysA,,IcuDROKLwJq,iwIJughnZjN,Mpatta Subcounty,hFO29Yr6ysA,Mukono District,Mpatta Subcounty,Kabanga HC III,WALTER REED_MUWRP,160699,DOD,FY2024Q4,312,,,5,43,20,15,22,27,16,29,12,30,10,26,5,12,13,27,,13,295,,14,,19,,0,266,,27,23,,3,19,,,,266,,1,23,0,3,18,0,0,0,250,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,11,0,11,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,11,0,0,312,322,13,295,,14,295,7,7,13,23,12,12,TRUE
Tooro,Fort Portal City,Central Division,Kabarole COU Hospital,gLhqifDs7hU,,yVa9JNQ3XzF,Nmo0weyII1Z,Fort Portal Central Division,gLhqifDs7hU,Fort Portal City,Fort Portal Central Division,Kabarole COU Hospital,UPMB,84980,CDC,FY2024Q4,24,,,,,1,,1,4,,6,1,5,,3,,3,,,,,24,,,,2,1,21,,,0,,,,2,1,2,19,,,,0,0,0,2,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,,24,,,24,0,0,0,0,0,0,TRUE
Bunyoro,Kibaale District,Kabasekende Subcounty,Kabasekende HC III,tUk7nhwPUHD,,gehE08UOAUj,aToxP60kiUl,Kabasekende Subcounty,tUk7nhwPUHD,Kibaale District,Kabasekende Subcounty,Kabasekende HC III,UPMB,84980,CDC,FY2024Q4,12,,,1,,,2,1,1,3,1,,,,2,1,,,,,,12,,,,1,1,4,3,,3,,,1,1,1,4,,3,,2,0,0,1,1,1,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,12,,,12,0,0,0,0,0,0,TRUE
Tooro,Kasese District,Kyabarungira Subcounty,Kabatunda HC III,sVrJn8E1ypr,,h3fvxT1Bh1D,c86Nb1FOuSQ,Kyabarungi Subcounty,sVrJn8E1ypr,Kasese District,Kabatunda Kirabaho Town Council,Kabatunda HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,140,,,10,35,13,24,3,14,,9,1,9,1,10,,4,1,6,,,140,,,,57,,0,,,83,57,,,57,,,,,,26,57,0,0,57,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,,140,,,140,0,0,0,0,0,0,TRUE
Teso,Kaberamaido District,Kaberamaido Town Council,Kaberamaido Prisons Clinic,K4034C0ZnRg,,riyHPcDm9ZG,Z62aUYtV0ra,Kaberamaido Town Council,K4034C0ZnRg,Kaberamaido District,Kaberamaido Town Council,Kaberamaido Prisons Clinic,UPS,84974,CDC,FY2024Q4,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,0,,,0,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,TRUE
South Central,Kyotera District,Kabira Subcounty (Kyotera District),Kabira (Kyotera) HC III,KC28vpic105,,Ah1HERcipt5,QnDYtNBGZo4,Kabira Subcounty,KC28vpic105,Kyotera District,Kabira Subcounty,Kabira (Kyotera) HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,217,,,,41,4,14,26,21,25,28,12,17,4,11,2,5,4,3,,7,211,,,,17,,89,1,,110,41,,66,17,,89,,1,,3,41,0,66,14,0,88,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,1,217,218,7,211,,,211,1,1,3,4,5,5,TRUE
Tooro,Bunyangabu District,Kabonero Subcounty,Kabonero HC III,QhjzIx0abeY,,rhA8ZTFJMbf,ZMnEbTnq4bW,Kabonero Subcounty,QhjzIx0abeY,Bunyangabu District,Kabonero Subcounty,Kabonero HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,74,,,2,28,4,7,8,12,5,7,,,,1,,,,,,,74,,,,16,,8,,,48,38,,10,16,,8,,,,,38,0,10,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,,74,,,72,0,0,0,0,0,0,FALSE
North Central,Mityana District,Ttamu Division,Kabule HC III,SCCtg0ytcin,,twDd4DWixDP,CxdtaThj3SF,Ttamu Division,SCCtg0ytcin,Mityana District,Ttamu Division,Kabule HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,173,,,1,9,21,4,3,44,2,22,2,22,1,14,,14,,14,,24,151,,,,149,,1,,,23,2,,7,149,,1,,,,14,2,0,6,128,0,1,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,173,175,24,151,,,151,3,3,22,22,22,22,TRUE
Ankole,Isingiro District,Kabuyanda Town Council,Kabuyanda HC IV,K5Rwfv0pC4s,,FlxYBk4BHFF,LFzeWcZTSqV,Kabuyanda Town Council,K5Rwfv0pC4s,Isingiro District,Kabuyanda Town Council,Kabuyanda HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,347,,3,35,12,85,4,8,71,5,57,5,36,,17,2,5,,2,,5,353,,,,270,8,54,1,,24,6,,16,270,8,30,24,1,,2,6,0,16,266,8,29,24,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,347,358,5,353,,,352,3,3,0,4,5,5,FALSE
Ankole,Sheema District,Kabwohe Division,Kabwohe HC IV,yTiZaVCinTc,,QFSPkHzSbt6,SWZy6WCaa3i,Kabwohe Division,yTiZaVCinTc,Sheema District,Kabwohe Division,Kabwohe HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,396,,,13,25,61,9,27,72,19,46,15,36,12,24,5,7,6,19,,18,379,,110,,193,30,22,1,,149,2,,131,193,30,9,13,1,,16,2,0,129,185,28,9,8,1,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,396,507,18,379,,110,378,1,1,10,7,7,7,FALSE
Bunyoro,Kikuube District,Kabwoya Subcounty,Kabwoya HC III,zdhmUkPsGjH,,mXyoJqQCqtt,XgF5HE2kEGU,Kabwoya Subcounty,zdhmUkPsGjH,Kikuube District,Kabwoya Subcounty,Kabwoya HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,213,1,,8,32,35,34,10,23,9,14,11,17,1,8,,7,,3,,51,70,,128,,69,10,39,,,95,21,,34,69,10,34,5,,,40,3,0,15,36,4,4,3,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,7,3,2,4,0,0,0,18,0,0,8,1,0,0,0,0,0,14,0,0,8,1,0,3,0,0,0,13,0,0,8,1,0,2,0,0,0,13,213,249,51,70,,128,69,5,5,34,23,25,24,TRUE
South Central,Rakai District,Kacheera Subcounty,Kacheera HC III,k3xgvufxeWb,,lukYnOIBXI5,SqQTlqlOLqL,Kacheera Subcounty,k3xgvufxeWb,Rakai District,Kacheera Subcounty,Kacheera HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,103,1,,,30,5,18,6,4,11,5,2,3,7,1,2,3,1,4,,4,101,,,,2,,9,19,,73,42,,24,2,,9,,19,,7,40,0,24,2,0,9,0,19,0,7,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103,105,4,101,,,101,2,2,3,1,1,1,TRUE
Bunyoro,Kagadi District,Kagadi Town Council,Kagadi Hospital,JLUfWD5Q5jB,,pCgzWxrDL9n,Wsmg2OPCpRs,Kagadi Town Council,JLUfWD5Q5jB,Kagadi District,Kagadi Town Council,Kagadi Hospital,Baylor_Hoima Region,81977,CDC,FY2024Q4,740,,,36,210,90,164,5,97,6,63,4,32,3,11,1,7,1,10,,43,611,,93,,325,2,0,,,412,333,,46,325,2,,,,,33,333,0,45,317,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,1,6,1,0,0,0,0,28,0,0,1,5,2,0,0,0,0,32,0,0,1,4,2,0,0,0,0,32,0,0,1,4,2,0,0,0,0,32,740,747,43,611,,93,696,6,6,39,40,39,39,FALSE
Tooro,Fort Portal City,Central Division,Kagote HC III,JOGgj0LGTiW,,rJAdZp18Y7U,Nmo0weyII1Z,Fort Portal Central Division,JOGgj0LGTiW,Fort Portal City,Fort Portal Central Division,Kagote HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,256,,,12,47,51,17,3,49,1,32,,19,1,10,,8,,6,,13,242,,,,159,2,26,,1,68,64,,,159,2,22,4,,1,4,62,0,0,156,2,16,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,2,0,0,0,0,256,255,13,242,,,242,0,0,8,3,5,4,TRUE
South Central,Wakiso District,Kajjansi Town Council,Kajjansi HC IV,DPRgzXMkh9U,,xrilvxOCD7v,LLyiZAxcCiv,Kajansi Town Council,DPRgzXMkh9U,Wakiso District,Kajansi Town Council,Kajjansi HC IV,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,"1,302",5,,14,562,63,161,23,164,8,130,3,65,3,50,4,28,4,15,,425,881,,,,421,9,48,22,,790,727,,40,421,9,19,29,22,,23,399,0,9,421,1,7,7,1,0,23,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,264,0,25,0,3,9,20,15,0,0,207,0,17,0,3,10,12,10,0,0,205,0,17,0,3,4,12,10,0,0,199,0,17,0,3,3,12,10,0,0,"1,302","1,306",425,881,,,868,3,3,336,259,251,244,FALSE
