Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL),Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male",subcounty_ART_total,pct_art_pop_subcounty,usaid,cdc,dod,Subcounty,District,County,Subcounty Population,subcounty_pop_adjusted
Eastern Region,East Central,HiCwzjSmUWO,Jinja District,Kakira Town Council,Kakira Health Centre III,MJAP East Central,82000.0,USAID,aNw3MLbqZtG,HiCwzjSmUWO,Jinja District,Kakira Town Council,Kakira Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,336,0.0,0.0,0.0,3.0,2.0,2.0,10.0,42.0,38.0,38.0,36.0,24.0,16.0,7.0,7.0,3.0,0.0,0.0,3.0,3.0,7.0,0.0,2.0,2.0,16.0,19.0,19.0,13.0,17.0,4.0,1.0,2.0,0,0,0,0,0,,,3,5,53,26,,,2,8,122,40,,,0,0,48,29,671.0,0.5007451565,1,0,0,Kakira Town Council,Jinja,Butembe,32693.0,33673.79
Eastern Region,East Central,ikdW0m1mt7H,Jinja District,Kakira Town Council,Kakira Sugar Works Hospital,UPMB LSD,81995.0,USAID,SNwTa7oEoya,ikdW0m1mt7H,Jinja District,Kakira Town Council,Kakira Sugar Works Hospital,UPMB_LSD,81995,USAID,DSD,FY2025Q1,335,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,17.0,28.0,27.0,27.0,25.0,12.0,12.0,2.0,0.0,0.0,1.0,1.0,2.0,6.0,4.0,2.0,8.0,22.0,22.0,27.0,32.0,24.0,11.0,7.0,0,0,0,0,0,,,0,3,12,15,,,1,1,73,74,,,0,0,80,76,671.0,0.4992548435,1,0,0,Kakira Town Council,Jinja,Butembe,32693.0,33673.79
Central Region,Central 1,EAr7pVCRxF3,Wakiso District,Kakiri Town Council,Kakiri Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,iTnzeloQPpc,EAr7pVCRxF3,Wakiso District,Kakiri Town Council,Kakiri Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,1010,0.0,0.0,1.0,8.0,19.0,13.0,45.0,92.0,148.0,123.0,93.0,66.0,47.0,38.0,19.0,22.0,0.0,0.0,2.0,13.0,12.0,7.0,5.0,16.0,30.0,44.0,42.0,34.0,29.0,20.0,12.0,10.0,0,0,0,0,0,,,2,3,115,26,,,26,24,334,117,,,0,0,257,106,1010.0,1.0,0,1,0,Kakiri Town Council,Wakiso,Busiro,38514.0,39669.42
Central Region,Central 1,W1E4uVMRwXD,Lwengo District,Kyazanga Subcounty,Kakoma Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,Vgwel2N5VsK,W1E4uVMRwXD,Lwengo District,Kyazanga Subcounty,Kakoma Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,96,0.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,9.0,10.0,16.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0,0,0,0,0,,,0,0,13,3,,,0,0,22,13,,,1,1,28,15,160.0,0.6,0,1,0,Kyazanga,Lwengo,Bukoto,69544.0,71630.32
Western Region,South Western,RI4Fb24F84i,Isingiro District,Kaberebere Town Council,Kakoma Health Centre III,UPMB LSD,81995.0,USAID,fFFqy2ZRC5w,RI4Fb24F84i,Isingiro District,Kaberebere Town Council,Kakoma Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,368,0.0,1.0,1.0,4.0,4.0,4.0,10.0,34.0,49.0,41.0,27.0,22.0,37.0,,,,0.0,0.0,1.0,4.0,4.0,0.0,0.0,8.0,24.0,32.0,31.0,13.0,17.0,,,,0,0,0,0,0,,,3,0,17,2,,,7,9,64,24,,,0,0,143,99,655.0,0.5618320611,1,0,0,Kaberebere Town Council,Isingiro,Isingiro,6743.0,6945.29
Western Region,South Western,kbiNehvstx4,Kabale District,Kitumba Subcounty,Kakomo Health Centre IV,JCRC Kigezi Lango,81997.0,USAID,epc232woIjx,kbiNehvstx4,Kabale District,Kitumba Subcounty,Kakomo Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,149,0.0,0.0,0.0,0.0,1.0,2.0,7.0,19.0,7.0,16.0,7.0,5.0,5.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,16.0,5.0,14.0,3.0,6.0,4.0,2.0,3.0,0,0,0,0,0,,,0,0,0,0,,,0,0,1,0,,,1,4,85,58,220.0,0.6772727273,1,0,0,Kitumba,Kabale,Ndorwa,18932.0,19499.96
Central Region,Central 2,i1KIxI3H281,Nakasongola District,Kakooge Town Council,Kakooge Health Centre III,WALTER REED-MUWRP,160699.0,DOD,POTzFI0u8y1,i1KIxI3H281,Nakasongola District,Kakooge Town Council,Kakooge Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,842,0.0,0.0,2.0,8.0,12.0,17.0,32.0,74.0,86.0,91.0,72.0,55.0,44.0,29.0,12.0,21.0,0.0,0.0,1.0,3.0,8.0,6.0,3.0,21.0,38.0,41.0,43.0,49.0,29.0,25.0,8.0,12.0,0,0,0,0,0,,,3,4,80,29,,,18,8,245,138,,,1,0,208,108,1103.0,0.7633726201,0,0,1,Kakooge Town Council,Nakasongola,Buruli,17952.0,18490.56
Eastern Region,East Central,ePBBFCBzmt1,Buyende District,Buyende Subcounty,Kakooge Health Centre III,MJAP East Central,82000.0,USAID,mBABAN31utb,ePBBFCBzmt1,Buyende District,Buyende Subcounty,Kakooge Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,186,0.0,0.0,0.0,2.0,2.0,4.0,10.0,12.0,9.0,10.0,7.0,11.0,9.0,13.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,7.0,6.0,17.0,14.0,12.0,8.0,9.0,9.0,2.0,3.0,0,0,0,0,0,,,2,1,13,28,,,2,3,42,34,,,0,2,34,25,186.0,1.0,1,0,0,Buyende,Buyende,Budiope,43263.0,44560.89
Western Region,South Western,dILdbpei9pW,Rubanda District,Hamurwa Subcounty,Kakore Health Centre II,UPMB LSD,81995.0,USAID,f9Bjl2la3c2,dILdbpei9pW,Rubanda District,Hamurwa Subcounty,Kakore Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,55,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,10.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,0,0,0,0,0,,,1,0,3,0,,,0,0,9,2,,,0,0,25,15,154.0,0.3571428571,1,0,0,Hamurwa,Rubanda,Rubanda,26985.0,27794.55
Western Region,Mid Western,kvNr0D5clU1,Bundibugyo District,Sindila Subcounty,Kakuka Health Centre III,Baylor Fort Portal Mubende Region,87039.0,CDC,toLASq45Vtn,kvNr0D5clU1,Bundibugyo District,Sindila Subcounty,Kakuka Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,135,0.0,0.0,1.0,1.0,0.0,2.0,6.0,5.0,13.0,24.0,13.0,16.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,8.0,4.0,4.0,3.0,2.0,0,0,0,0,0,,,1,1,6,1,,,1,0,57,26,,,0,0,31,11,135.0,1.0,0,1,0,Sindila,Bundibugyo,Bughendera,7758.0,7990.74
Western Region,Mid Western,aLPsQWPEMFT,Kakumiro District,Kakumiro Town Council,Kakumiro Health Centre IV,Baylor Hoima Region,81977.0,CDC,lnnMkUKP1aJ,aLPsQWPEMFT,Kakumiro District,Kakumiro Town Council,Kakumiro Health Centre IV,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,2356,0.0,1.0,12.0,15.0,21.0,47.0,113.0,228.0,287.0,253.0,182.0,141.0,78.0,46.0,34.0,16.0,0.0,0.0,6.0,23.0,23.0,13.0,24.0,62.0,123.0,146.0,151.0,103.0,98.0,55.0,33.0,22.0,0,0,0,0,0,,,13,9,191,42,,,36,43,939,578,,,0,0,295,210,2356.0,1.0,0,1,0,Kakumiro Town Council,Kakumiro,Bugangaizi,9834.0,10129.02
Central Region,Central 2,aZw4VQefUc4,Luwero District,Kalagala Subcounty,Kalagala Health Centre IV,WALTER REED-MUWRP,160699.0,DOD,I3Pvb7ryppf,aZw4VQefUc4,Luwero District,Kalagala Subcounty,Kalagala Health Centre IV,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,1089,0.0,0.0,1.0,5.0,14.0,10.0,50.0,102.0,123.0,121.0,77.0,64.0,71.0,34.0,31.0,28.0,0.0,1.0,4.0,5.0,14.0,10.0,7.0,20.0,45.0,54.0,46.0,59.0,41.0,21.0,19.0,12.0,0,0,0,0,0,,,3,8,93,20,,,16,16,354,182,,,1,0,264,132,1826.0,0.5963855422,0,0,1,Kalagala,Luwero,Bamunanika,89140.0,91814.2
Central Region,Central 1,oTXa14pgh8f,Kalangala District,Kalangala Town Council,Kalangala Health Centre IV,IDI Masaka Wakiso Region,87029.0,CDC,BQATmsVM4ie,oTXa14pgh8f,Kalangala District,Kalangala Town Council,Kalangala Health Centre IV,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,1377,0.0,0.0,1.0,4.0,13.0,11.0,42.0,96.0,139.0,162.0,121.0,100.0,58.0,37.0,18.0,15.0,0.0,0.0,3.0,4.0,7.0,13.0,8.0,19.0,50.0,97.0,104.0,94.0,79.0,45.0,26.0,11.0,0,0,0,0,0,,,2,3,38,9,,,16,11,451,324,,,0,0,310,213,1391.0,0.9899352983,0,1,0,Kalangala Town Council,Kalangala,Bujumba,9960.0,10258.800000000001
Central Region,Central 1,paN9PlHkDPN,Kalangala District,Kalangala Town Council,Kalangala Prisons Health Centre II,UPS Follow-on,84974.0,CDC,v3imbfT9QWm,paN9PlHkDPN,Kalangala District,Kalangala Town Council,Kalangala Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0,14,0,0,0,,,0,0,0,14,,,0,0,0,0,,,0,0,0,0,1391.0,0.01006470165,0,1,0,Kalangala Town Council,Kalangala,Bujumba,9960.0,10258.800000000001
Central Region,Central 2,Pg7u9XVV10i,Mityana District,Kalangaalo Subcounty,Kalangalo Health Centre III,Baylor Fort Portal Mubende Region,87039.0,CDC,EHMLwfd7YIk,Pg7u9XVV10i,Mityana District,Kalangaalo Subcounty,Kalangalo Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,266,0.0,0.0,2.0,7.0,2.0,9.0,29.0,35.0,36.0,44.0,18.0,8.0,10.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,6.0,4.0,3.0,10.0,10.0,2.0,6.0,4.0,0.0,0,0,0,0,0,,,2,0,4,1,,,5,3,69,4,,,4,2,130,42,1881.0,0.1414141414,0,1,0,Kalangaalo,Mityana,Mityana,61264.0,63101.92
Western Region,Mid Western,dUTmAyJW63T,Kasese District,Kilembe Subcounty,Kalibu Health Centre III,Baylor Fort Portal Mubende Region,87039.0,CDC,d7knO9sbXD0,dUTmAyJW63T,Kasese District,Kilembe Subcounty,Kalibu Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,1,0,2,1,,,0,0,3,3,,,0,0,10,2,22.0,1.0,0,1,0,Kilembe,Kasese,Busongora,13302.0,13701.06
Central Region,Central 1,MsrKKJaEXiV,Lyantonde District,Kaliiro Subcounty,Kaliiro Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,oWhL4R4nEiS,MsrKKJaEXiV,Lyantonde District,Kaliiro Subcounty,Kaliiro Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,504,0.0,0.0,2.0,1.0,7.0,10.0,30.0,39.0,58.0,59.0,40.0,25.0,23.0,15.0,12.0,13.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,7.0,18.0,31.0,33.0,18.0,15.0,11.0,13.0,6.0,0,0,0,0,0,,,4,3,35,13,,,5,9,194,98,,,1,0,95,47,640.0,0.7875,0,1,0,Kaliiro,Lyantonde,Kabula,36624.0,37722.72
Central Region,Central 1,eZPhMsZGZza,Kyotera District,Kalisizo Town Council,Kalisizo General Hospital,IDI Masaka Wakiso Region,87029.0,CDC,hCwMUUWMnkv,eZPhMsZGZza,Kyotera District,Kalisizo Town Council,Kalisizo General Hospital,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,4186,0.0,1.0,10.0,17.0,51.0,57.0,125.0,225.0,359.0,464.0,493.0,365.0,268.0,152.0,104.0,86.0,0.0,0.0,5.0,15.0,40.0,39.0,24.0,51.0,100.0,154.0,241.0,247.0,182.0,132.0,93.0,86.0,0,0,0,0,0,,,9,9,140,50,,,60,45,1400,717,,,10,6,1158,582,6961.0,0.6013503807,0,1,0,Kalisizo Town Council,Kyotera,Kyotera,27962.0,28800.86
Central Region,Central 1,nlCA2HNWuFV,Kyotera District,Kalisizo Town Council,Kalisizo Prisons Health Centre II,UPS Follow-on,84974.0,CDC,qD1nq3r3aZ2,nlCA2HNWuFV,Kyotera District,Kalisizo Town Council,Kalisizo Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,9.0,5.0,7.0,2.0,3.0,,,,0,48,0,0,0,,,0,0,4,44,,,0,0,4,44,,,0,0,0,0,6961.0,0.006895560983,0,1,0,Kalisizo Town Council,Kyotera,Kyotera,27962.0,28800.86
Central Region,Central 2,wgSmdZGeb5I,Nakasongola District,Kalungi Subcounty,Kalungi (Kalungi) Health Centre III,WALTER REED-MUWRP,160699.0,DOD,r52dkDJ0qHY,wgSmdZGeb5I,Nakasongola District,Kalungi Subcounty,Kalungi (Kalungi) Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,532,0.0,0.0,0.0,6.0,11.0,9.0,15.0,26.0,33.0,41.0,50.0,41.0,25.0,31.0,14.0,10.0,0.0,1.0,1.0,6.0,8.0,9.0,5.0,8.0,13.0,25.0,35.0,26.0,44.0,18.0,9.0,12.0,0,0,0,0,0,,,1,1,17,14,,,13,11,79,62,,,3,4,199,128,675.0,0.7881481481,0,0,1,Kalungi,Nakasongola,Buruli,47552.0,48978.56
Central Region,Central 1,i6hyU0bywAr,Kalungu District,Lukaya Town Council,Kalungi (Lukaya) Health Centre III,UPMB,84980.0,CDC,dg3wXIL7pH7,i6hyU0bywAr,Kalungu District,Lukaya Town Council,Kalungi (Lukaya) Health Centre III,UPMB,84980,CDC,DSD,FY2025Q1,167,0.0,0.0,0.0,1.0,4.0,2.0,7.0,12.0,19.0,17.0,16.0,11.0,6.0,6.0,8.0,9.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,6.0,9.0,7.0,4.0,3.0,4.0,4.0,3.0,0,0,0,0,0,,,4,3,23,6,,,1,1,66,22,,,0,1,24,16,4718.0,0.03539635439,0,1,0,Lukaya Town Council,Kalungu,Kalungu,48326.0,49775.78
Central Region,Central 1,wKczE4oVqOy,Kalungu District,Kalungu Town Council,Kalungu Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,pCCteoR5h4x,wKczE4oVqOy,Kalungu District,Kalungu Town Council,Kalungu Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,833,0.0,0.0,5.0,6.0,11.0,13.0,28.0,65.0,76.0,99.0,74.0,57.0,45.0,34.0,27.0,31.0,0.0,0.0,1.0,7.0,14.0,7.0,10.0,9.0,23.0,34.0,37.0,32.0,30.0,24.0,13.0,21.0,0,0,0,0,0,,,7,7,91,46,,,14,14,371,155,,,1,1,87,39,833.0,1.0,0,1,0,Kalungu Town Council,Kalungu,Kalungu,16232.0,16718.96
Eastern Region,North East,MexhLyMSilA,Kumi District,Kanyum Subcounty,Kamaca Health Centre III,AIC Soroti  Region,87041.0,CDC,pjeHWVADl5F,MexhLyMSilA,Kumi District,Kamacha Subcounty,Kamaca Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,118,0.0,0.0,0.0,1.0,1.0,3.0,12.0,11.0,11.0,8.0,15.0,11.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,4.0,6.0,5.0,3.0,2.0,1.0,0.0,0,0,0,0,0,,,1,2,0,3,,,1,0,59,9,,,0,0,23,17,541.0,0.2181146026,0,1,0,Kanyum,Kumi,Kumi,41801.0,43055.03
Central Region,Central 2,a3KGKqpABTy,Mityana District,Maanyi Subcounty,Kambaala Health Centre III,UEC,81974.0,CDC,ym9zvFvAoIf,a3KGKqpABTy,Mityana District,Maanyi Subcounty,Kambaala Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,169,0.0,0.0,1.0,4.0,4.0,4.0,9.0,19.0,18.0,13.0,12.0,8.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,12.0,6.0,8.0,7.0,4.0,3.0,8.0,1.0,0,0,0,0,0,,,3,3,25,15,,,3,2,46,25,,,3,0,30,14,1095.0,0.1543378995,0,1,0,Maanyi,Mityana,Busujju,42572.0,43849.16
Western Region,South Western,CCW0LpJoTnO,Kanungu District,Kambuga Town Council,Kambuga General Hospital,JCRC Kigezi Lango,81997.0,USAID,B6ospwIFD0p,CCW0LpJoTnO,Kanungu District,Kambuga Town Council,Kambuga General Hospital,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1849,0.0,1.0,3.0,8.0,30.0,22.0,71.0,108.0,175.0,192.0,192.0,104.0,121.0,81.0,51.0,34.0,0.0,0.0,1.0,10.0,17.0,9.0,16.0,17.0,69.0,110.0,102.0,93.0,77.0,63.0,36.0,36.0,0,0,0,0,0,,,3,1,6,8,,,24,16,268,100,,,15,11,877,520,1849.0,1.0,1,0,0,Kambuga Town Council,Kanungu,Kinkiizi,5825.0,5999.75
Eastern Region,Mid Eastern,A5sNBoMutHJ,Pallisa District,Kameke Subcounty,Kameke Health Centre III,Baylor Eastern Region,82001.0,USAID,pz2sjzphWUF,A5sNBoMutHJ,Pallisa District,Kameke Subcounty,Kameke Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,291,0.0,0.0,1.0,0.0,2.0,3.0,6.0,14.0,16.0,24.0,32.0,29.0,16.0,18.0,15.0,18.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,6.0,14.0,18.0,9.0,12.0,15.0,5.0,0,0,0,0,0,,,0,1,4,0,,,2,2,26,6,,,1,1,161,87,291.0,1.0,1,0,0,Kameke,Pallisa,Agule,17320.0,17839.600000000002
Eastern Region,Mid Eastern,ptpCYlWn6s7,Budaka District,Kameruka Subcounty,Kameruka Health Centre III,Baylor Eastern Region,82001.0,USAID,IyBSBGWzORk,ptpCYlWn6s7,Budaka District,Kameruka Subcounty,Kameruka Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,103,0.0,0.0,0.0,0.0,3.0,4.0,1.0,11.0,9.0,9.0,8.0,3.0,8.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,0,0,0,0,0,,,1,0,0,0,,,1,0,10,2,,,1,0,62,26,103.0,1.0,1,0,0,Kameruka,Budaka,Iki-Iki,14907.0,15354.210000000001
Central Region,Central 2,SQgzVzwkRjK,Luwero District,Kamira Subcounty,Kamira Health Centre III,WALTER REED-MUWRP,160699.0,DOD,iP2FAeRDydc,SQgzVzwkRjK,Luwero District,Kamira Town Council,Kamira Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,484,0.0,1.0,2.0,5.0,7.0,11.0,15.0,37.0,55.0,46.0,38.0,26.0,32.0,9.0,15.0,10.0,0.0,1.0,4.0,3.0,8.0,1.0,7.0,7.0,23.0,21.0,17.0,25.0,18.0,18.0,9.0,13.0,0,0,0,0,0,,,1,4,20,5,,,14,12,153,72,,,0,0,121,82,484.0,1.0,0,0,1,Kamira,Luwero,Bamunanika,52776.0,54359.28
Eastern Region,North East,lwOFIJ6tbNa,Serere District,Kasilo Town Council,Kamod Health Centre III,AIC Soroti  Region,87041.0,CDC,LHunhzALwUb,lwOFIJ6tbNa,Serere District,Kasilo Town Council,Kamod Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,191,0.0,0.0,0.0,2.0,5.0,2.0,6.0,15.0,25.0,13.0,21.0,12.0,16.0,5.0,6.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,5.0,7.0,17.0,4.0,6.0,6.0,3.0,2.0,0,0,0,0,0,,,0,3,2,1,,,3,3,22,1,,,4,2,100,50,191.0,1.0,0,1,0,Kasilo Town Council,Serere,Kasilo,3537.0,3643.11
Central Region,Central 1,mm6DbH6wKeQ,Mpigi District,Kammengo Subcounty,Kampiringisa Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,vaXlHT5OlIj,mm6DbH6wKeQ,Mpigi District,Kammengo Subcounty,Kampiringisa Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,249,0.0,0.0,0.0,2.0,4.0,1.0,9.0,22.0,35.0,30.0,20.0,16.0,10.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,6.0,8.0,10.0,13.0,11.0,13.0,7.0,4.0,4.0,0,0,0,0,0,,,3,1,25,6,,,3,4,81,45,,,0,0,51,30,1516.0,0.1642480211,0,1,0,Kammengo,Mpigi,Mawokota,77846.0,80181.38
Eastern Region,North East,a4070sNyyVO,Soroti District,Kamuda Subcounty,Kamuda Health Centre III,AIC Soroti  Region,87041.0,CDC,vnfJSqdbgf0,a4070sNyyVO,Soroti District,Kamuda Subcounty,Kamuda Health Centre III,AIC_Soroti Region,87041,CDC,DSD,FY2025Q1,247,0.0,0.0,5.0,6.0,3.0,2.0,34.0,25.0,23.0,18.0,11.0,7.0,17.0,,,,0.0,0.0,0.0,1.0,4.0,4.0,7.0,7.0,22.0,15.0,14.0,9.0,13.0,,,,0,0,0,0,0,,,8,4,14,9,,,4,4,45,23,,,1,2,72,46,247.0,1.0,0,1,0,Kamuda,Soroti,Soroti,37023.0,38133.69
Western Region,South Western,c9Fq5DlB3y5,Kabale District,Katuna Town Council,Kamuganguzi Health Centre III,JCRC Kigezi Lango,81997.0,USAID,SmAu12lxoBM,c9Fq5DlB3y5,Kabale District,Katuna Town Council,Kamuganguzi Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,595,0.0,0.0,1.0,7.0,8.0,11.0,24.0,48.0,49.0,55.0,68.0,41.0,30.0,18.0,13.0,11.0,0.0,0.0,1.0,1.0,8.0,3.0,10.0,17.0,20.0,34.0,28.0,25.0,29.0,10.0,16.0,9.0,0,0,0,0,0,,,0,0,4,1,,,15,9,83,31,,,1,1,281,169,595.0,1.0,1,0,0,Katuna Town Council,Kabale,Ndorwa,10068.0,10370.04
Western Region,South Western,aVKmbSeBF1N,Kabale District,Southern Division,Kamukira Health Centre IV,JCRC Kigezi Lango,81997.0,USAID,xeaxHZKokis,aVKmbSeBF1N,Kabale District,Southern Division,Kamukira Health Centre IV,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,1329,0.0,0.0,0.0,0.0,5.0,19.0,51.0,83.0,152.0,155.0,96.0,86.0,65.0,34.0,41.0,17.0,0.0,0.0,2.0,5.0,8.0,8.0,14.0,29.0,70.0,87.0,94.0,74.0,68.0,34.0,15.0,17.0,0,0,0,0,0,,,0,0,17,10,,,5,15,148,35,,,0,0,634,465,2104.0,0.6316539924,1,0,0,Southern Division,Kabale,Kabale Municipality,20810.0,21434.3
Central Region,Central 1,VQlQ4IXDdFm,Masaka District,Kyesiiga Subcounty,Kamulegu Health Centre III,IDI Masaka Wakiso Region,87029.0,CDC,KRFppbAE0XC,VQlQ4IXDdFm,Masaka District,Kyesiiga Subcounty,Kamulegu Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,658,0.0,0.0,1.0,1.0,7.0,13.0,29.0,63.0,79.0,54.0,46.0,45.0,26.0,19.0,13.0,14.0,0.0,0.0,5.0,8.0,7.0,3.0,1.0,14.0,27.0,40.0,35.0,32.0,36.0,15.0,6.0,19.0,0,0,0,0,0,,,0,2,4,1,,,9,18,310,170,,,0,0,87,57,658.0,1.0,0,1,0,Kyesiiga,Masaka,Bukoto,49664.0,51153.92
