Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
Tooro,bhJFKwRg9fE,Kasese District,Lakekatwe Subcounty,Hamukungu HC II,Baylor Fort Portal_Mubende Region,,M2W2iBPKDzy,bhJFKwRg9fE,Kasese District,Lakekatwe Subcounty,Hamukungu HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,111,48,63,5,7,20,18,13,10,6,9,2,8,1,5,1,3,,3,111,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,18,13,10,6,9,2,8,1,5,1,3,0,3,32,0,0,32,0,0,0,0,0,111,111,0,0,0,0,6,1,0,70,0,0,0,0,0,0
Bukedi,BiACo115FNv,Tororo District,Osukuru Subcounty,Tororo Main Prisons HC III,UPS,,xWvpZyoH2gI,BiACo115FNv,Tororo District,Osukuru Subcounty,Tororo Main Prisons Health Centre III,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Central,BIiLhy7eYLl,Buikwe District,Kiyindi Town Council,Makonge HC III,WALTER REED_MUWRP,,giOyZUuXn0v,BIiLhy7eYLl,Buikwe District,Kiyindi Town Council,Makonge HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,89,53,36,2,,9,7,10,5,10,10,12,6,4,2,4,2,2,4,89,0,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1,1,3,4,1,1,1,1,0,2,2,2,0,6,4,4,4,9,7,8,5,3,1,3,2,0,2,15,0,0,15,0,0,0,0,100,46,88,0,0,0,4,14,8,0,89,0,1,0,0,14,0
Busoga,BMmhOqlF4EB,Jinja City,Jinja South Division,Gaddafi Barracks HC III,URC_DOD_UPDF,,OELkOLxvZxB,BMmhOqlF4EB,Jinja City,Jinja South Division,Gaddafi Barracks Health Centre III,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,74,0,0,1,0,0,0,0,0
Kampala,BnSVCAr2iAw,Kampala District,Lubaga Division,Mengo Hospital,UPMB,,kXDFsrdZnxp,BnSVCAr2iAw,Kampala District,Lubaga Division,Mengo Hospital,UPMB,84980,CDC,Oct-Dec 2024,,,450,304,146,26,6,36,44,135,42,52,26,28,12,17,12,6,2,4,2,450,0,6,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,26,6,36,41,135,41,52,26,28,10,17,12,6,2,4,2,394,134,0,260,0,0,0,0,9,459,449,0,0,0,0,41,18,0,0,0,6,1,0,7,1
North Central,BQrPJsVTpud,Luwero District,Bombo Town Council,Bombo HC III,WALTER REED_MUWRP,,y2N4y0FP8Sn,BQrPJsVTpud,Luwero District,Bombo Town Council,Bombo HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,91,70,21,9,,38,3,11,11,6,3,5,2,1,1,,,,1,91,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,38,3,11,11,6,3,5,2,1,1,0,0,0,1,41,0,0,40,0,1,0,0,39,84,91,0,0,0,4,53,21,0,0,0,0,0,0,6,2
Busoga,BTNeWyNJanq,Jinja City,Jinja North Division,Budondo HC IV,MJAP_East Central Region,,GLhSxuM0uWc,BTNeWyNJanq,Jinja City,Jinja North Division,Budondo HC IV,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,49,20,29,7,1,3,3,2,11,4,8,3,2,,1,,1,1,2,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,2,11,4,8,3,2,0,1,0,1,1,2,50,8,2,40,0,0,0,0,0,113,49,0,0,0,0,4,0,0,14,0,25,19,0,1,0
Lango,BTQIO9sgvpP,Lira City,Lira East Division,Pag Mission Hospital,UPMB_LSD,,MbkI983B6fv,BTQIO9sgvpP,Lira City,Lira East Division,Pag Mission Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,7,6,1,,,2,,1,,3,1,,,,,,,,,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,7,20,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
North Central,BuBhkTtnfuE,Mubende District,Kiyuni Subcounty,Kiyuni (Mubende) HC III,Baylor Fort Portal_Mubende Region,,EjwPP0uzlnE,BuBhkTtnfuE,Mubende District,Kiyuni Subcounty,Kiyuni (Mubende) HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,171,146,25,21,,68,3,44,8,8,11,3,2,2,1,,,,,171,0,80,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,2,18,5,3,7,3,1,1,1,0,0,0,0,14,0,36,1,26,3,5,4,0,1,1,0,0,0,0,0,104,0,0,104,0,0,0,0,15,157,91,0,0,0,0,15,14,0,0,0,0,0,0,22,0
Tooro,bvqfuXEH13c,Kasese District,Central Division,Kasese Community Health Center HC III,UPMB,,Lfisrkk7WzO,bvqfuXEH13c,Kasese District,Central Division,Kasese Community Health Center HC III,UPMB,84980,CDC,Oct-Dec 2024,,,5,5,0,1,,1,,2,,1,,,,,,,,,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Busoga,BXdPG3XpRk8,Kamuli District,Nabwigulu Subcounty,Nabirumba HC III,MJAP_East Central Region,,nldyTUFrjli,BXdPG3XpRk8,Kamuli District,Nabwigulu Subcounty,Nabirumba HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,28,16,12,3,,5,1,3,3,3,5,1,2,1,1,,,,,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,3,3,3,5,1,2,1,1,0,0,0,0,9,0,0,9,0,0,0,0,2,33,27,0,0,0,0,3,4,0,0,0,12,6,0,0,0
Tooro,c39yKQqyCK3,Kasese District,Central Division,Katodoba UMSC HC III,UEC,,IE63RAr26Xn,c39yKQqyCK3,Kasese District,Central Division,Katodoba UMSC HC III,UEC,81974,CDC,Oct-Dec 2024,,,78,37,41,4,,10,2,10,5,6,12,4,11,3,9,,1,,1,78,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,2,10,5,6,12,4,11,3,9,0,1,0,1,27,0,0,27,0,0,0,0,1,79,78,0,0,0,0,2,8,0,0,5,3,4,0,1,16
Kigezi,c9Fq5DlB3y5,Kabale District,Katuna Town Council,Kamuganguzi HC III,JCRC_Kigezi Lango Region,,SmAu12lxoBM,c9Fq5DlB3y5,Kabale District,Katuna Town Council,Kamuganguzi HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,277,226,51,25,3,94,10,75,15,21,9,8,8,1,1,2,1,,4,277,0,10,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,1,0,0,0,0,0,0,1,0,0,0,23,3,90,10,73,14,21,9,8,8,1,1,1,1,0,4,257,0,0,253,4,0,8,0,1,398,276,0,0,0,44,39,27,0,0,0,3,4,18,0,14
South Central,CB9zwzOqEbX,Mpigi District,Kiringente Subcounty,Sekiwunga HC III,IDI_Masaka Wakiso Region,,bLaby6v638x,CB9zwzOqEbX,Mpigi District,Kiringente Subcounty,Sekiwunga HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,111,70,41,12,1,28,9,20,12,8,8,1,7,1,3,,,,1,111,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,28,9,20,12,8,8,1,7,1,3,0,0,0,1,51,0,0,51,0,0,0,0,3,113,111,0,0,0,1,13,18,0,0,1,20,0,0,5,5
South Central,CcCjT4HFRuy,Gomba District,Mpenja Subcounty,Mpenja HC III,IDI_Masaka Wakiso Region,,Y5cOILQx7CG,CcCjT4HFRuy,Gomba District,Mpenja Subcounty,Mpenja HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,105,54,51,11,10,30,13,8,14,3,8,1,1,,3,1,,,2,105,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,30,13,8,14,3,8,1,1,0,3,1,0,0,2,21,14,0,7,0,0,0,0,0,108,105,0,0,0,0,28,3,0,4,2,8,0,1,20,2
Bunyoro,ccVG52jNm8D,Hoima District,Buseruka Subcounty,Buseruka HC III,Baylor_Hoima Region,,YpQfDFOoadu,ccVG52jNm8D,Hoima District,Buseruka Subcounty,Buseruka HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,37,13,24,3,2,5,8,2,10,2,3,,1,1,,,,,,37,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,3,2,4,6,1,8,1,2,0,1,1,0,0,0,0,0,15,0,0,15,0,0,0,0,25,16,37,0,0,0,2,0,26,0,0,0,0,0,0,0,0
Kigezi,CCW0LpJoTnO,Kanungu District,Kambuga Town Council,Kambuga Hospital,JCRC_Kigezi Lango Region,,B6ospwIFD0p,CCW0LpJoTnO,Kanungu District,Kambuga Town Council,Kambuga Hospital,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,174,129,45,44,10,54,13,16,13,9,3,2,1,3,1,1,3,,1,174,0,17,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2,1,3,0,2,0,1,0,0,0,0,0,41,10,49,13,14,12,6,3,0,1,2,1,1,3,0,1,38,0,0,38,0,0,0,0,173,29,173,0,0,0,5,20,29,0,0,0,1,0,0,10,16
Lango,cDGKAJzfkpf,Oyam District,Kamdini Subcounty,Aber Hospital,UPMB_LSD,,whVRRz5wfqJ,cDGKAJzfkpf,Oyam District,Kamdini Subcounty,St. John XXIII Hospital Aber,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,8,5,3,,,,,1,1,2,,2,1,,1,,,,,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0
North Central,cdusFUkNTOC,Kyankwanzi District,Ntunda Town Council,Mujunza HC III,Baylor Fort Portal_Mubende Region,,Lz7aIcvkqz9,cdusFUkNTOC,Kyankwanzi District,Ntunda Town Council,Mujunza HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,56,51,5,12,,16,,6,3,9,1,6,,2,1,,,,,56,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,6,3,9,1,6,0,2,1,0,0,0,0,50,0,0,50,0,0,0,0,6,51,53,0,0,0,0,0,4,0,0,0,0,0,0,3,0
South Central,CijKO0Edzep,Lwengo District,Lwengo Subcounty,Mbirizi Muslim HC III,UEC,,hIkmYwKSze1,CijKO0Edzep,Lwengo District,Lwengo Subcounty,Mbirizi Muslim HC III,UEC,81974,CDC,Oct-Dec 2024,,,132,79,53,2,5,27,9,17,11,21,10,4,11,4,5,1,2,3,,132,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,27,9,17,11,21,10,4,11,4,5,1,2,3,0,111,3,8,100,0,0,0,0,158,0,135,0,0,0,0,0,3,0,0,0,9,31,1,0,0
North Central,CiNybZErM6Q,Kassanda District,Bukuya Town Council,Bukuya HC III,Baylor Fort Portal_Mubende Region,,F63kZ7510WO,CiNybZErM6Q,Kassanda District,Bukuya Town Council,Bukuya HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,58,35,23,11,4,14,9,3,6,2,1,3,2,2,,,1,,,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,9,3,6,2,1,3,2,2,0,0,1,0,0,77,1,0,76,0,0,10,0,47,126,58,0,0,0,0,7,26,11,3,2,11,0,1,9,13
Kampala,cjC5Ij5U7le,Kampala District,Nakawa Division,Kiswa HC III,ROM_Kampala Region,,Koi5ewdknzw,cjC5Ij5U7le,Kampala District,Nakawa Division,Kiswa HC III,ROM_Kampala Region,87040,CDC,Oct-Dec 2024,,,965,629,336,26,11,180,89,244,107,115,64,42,35,10,19,6,8,6,3,965,0,371,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,82,41,98,35,42,14,17,12,4,6,0,3,2,1,16,7,98,48,146,72,73,50,25,23,6,13,6,5,4,2,717,183,69,464,1,0,0,0,38,974,952,0,0,0,37,57,95,0,5,13,8,7,1,10,98
Lango,cK5namCwmbW,Lira City,Lira West Division,Lira Regional Referral Hospital,G2G Lira,,EdzJdGrq3BP,cK5namCwmbW,Lira City,Lira West Division,Lira Regional Referral Hospital,G2G Lira,85000,USAID,Oct-Dec 2024,,,194,111,83,11,10,34,23,33,19,17,15,12,12,4,1,,2,,1,194,0,3,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,11,10,33,23,33,19,16,15,11,12,4,1,0,2,0,1,134,43,0,87,4,0,0,0,6,199,174,0,0,0,0,0,21,0,0,0,0,1,11,7,0
North Central,cK5zkZIUFsN,Buikwe District,Buikwe Town Council,Buikwe HC III,WALTER REED_MUWRP,,fFPOG3kJ6y3,cK5zkZIUFsN,Buikwe District,Buikwe Town Council,Buikwe HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,42,30,12,2,1,10,4,8,3,8,3,2,,,,,1,,,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,4,8,3,8,3,2,0,0,0,0,1,0,0,59,0,0,59,0,0,0,0,4,92,42,0,0,0,0,1,30,0,0,1,3,2,0,0,0
Tooro,CK8TCNDBPNc,Kamwenge District,Nkoma-Katalyeba Town Council,Rwamwanja HC III,STATE_UNHCR,,uBE2Jy6TtpV,CK8TCNDBPNc,Kamwenge District,Nkoma-Katalyeba Town Council,Rwamwanja HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,45,38,7,7,1,16,1,9,3,1,1,1,1,1,,3,,,,45,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,16,1,8,3,1,1,0,1,1,0,3,0,0,0,27,0,0,27,0,0,0,0,23,28,43,0,0,0,0,2,3,0,0,0,2,0,0,15,0
Tooro,ck9FaUIhQAl,Kyegegwa District,Kazinga Town Council,Kazinga HC III,Baylor Fort Portal_Mubende Region,,yebPXaASOSd,ck9FaUIhQAl,Kyegegwa District,Kazinga Town Council,Kazinga HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,134,127,7,27,,75,,15,4,2,,2,,1,2,2,,3,1,134,0,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,75,0,15,4,2,0,2,0,1,2,1,0,3,1,82,0,0,82,0,0,0,0,0,134,133,0,0,0,0,34,0,0,0,0,0,0,0,18,0
North Central,CMNFahpvV4I,Kiboga District,Nkandwa Subcounty,Kambugu HC III,Baylor Fort Portal_Mubende Region,,sSwA56Jbv90,CMNFahpvV4I,Kiboga District,Nkandwa Subcounty,Kambugu HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,87,80,7,26,,38,3,11,2,4,1,1,1,,,,,,,87,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,38,3,11,2,4,1,1,1,0,0,0,0,0,0,74,0,0,74,0,0,0,0,89,0,87,0,0,0,0,6,1,0,0,0,0,4,0,2,0
Busoga,CNG62dd4mE1,Bugiri District,Western Division,Bugiri Hospital,MJAP_East Central Region,,XzYBshMGKqh,CNG62dd4mE1,Bugiri District,Western Division,Bugiri Hospital,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,266,170,96,19,8,59,16,36,14,25,22,11,13,12,10,5,5,3,8,266,0,67,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,6,7,7,9,5,5,2,5,1,1,0,1,17,4,54,9,30,7,18,13,6,8,10,5,4,4,3,7,19,0,0,17,2,0,25,10,30,245,262,0,0,0,6,12,13,0,27,0,9,0,0,17,138
South Central,Co0DLFVgmGz,Mpigi District,Kammengo Subcounty,Butoolo HC III,IDI_Masaka Wakiso Region,,HjmqulZFuHE,Co0DLFVgmGz,Mpigi District,Kammengo Subcounty,Butoolo HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,157,88,69,14,1,19,17,25,15,17,11,9,11,1,8,3,3,,3,157,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,19,17,25,15,17,11,9,11,1,8,3,3,0,3,89,0,0,89,0,0,0,0,2,162,156,0,0,0,0,0,57,0,1,0,0,0,7,6,1
Lango,CpZY2oCsE5i,Lira District,Barr Subcounty,Barr HC III,JCRC_Kigezi Lango Region,,NEmHqxfJBe0,CpZY2oCsE5i,Lira District,Barr Subcounty,Barr HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,125,70,55,12,6,22,16,14,7,13,9,5,6,1,7,,2,3,2,125,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,22,16,14,7,13,9,5,6,1,7,0,2,3,2,26,0,0,24,2,0,1,0,0,134,125,0,0,0,0,14,7,0,1,0,1,0,10,0,20
North Central,CqBb08p28JJ,Buikwe District,Najja Subcounty,Makindu HC III,WALTER REED_MUWRP,,shrVndikJqX,CqBb08p28JJ,Buikwe District,Najja Subcounty,Makindu HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,27,11,16,1,3,2,2,2,4,2,2,1,1,2,,1,1,,3,27,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,3,2,2,0,1,1,0,1,1,0,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,23,0,0,23,0,0,0,0,25,36,27,0,0,0,0,4,3,0,23,0,3,0,0,1,0
Bukedi,CQqWk34vLNB,Tororo District,Eastern Division,TASO Tororo Special Clinic,UPMB_LSD,,CQNrzPjjdQR,CQqWk34vLNB,Tororo District,Eastern Division,TASO Tororo Special Clinic,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,1210,864,346,58,5,269,28,303,80,147,87,57,99,18,33,8,8,4,6,1210,0,529,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,114,15,132,41,65,44,29,39,4,14,4,2,0,2,37,2,155,13,171,39,82,43,28,60,14,19,4,6,4,4,69,0,0,65,4,0,0,0,1206,72,1209,0,0,0,0,23,2,0,0,2,254,107,0,2,8
Bunyoro,csFo3Bw4oTt,Kiryandongo District,Kigumba Subcounty,Kigumba HC III,Baylor_Hoima Region,,v1t1kHXSeT5,csFo3Bw4oTt,Kiryandongo District,Kigumba Subcounty,Kigumba HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,125,68,57,7,3,25,5,23,23,7,10,3,8,1,5,1,3,1,,125,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,25,5,23,23,7,10,3,8,1,5,1,3,1,0,63,0,0,62,0,1,0,0,0,126,123,0,0,0,0,4,39,0,0,0,3,0,0,0,6
Ankole,CSpqU3MIZuC,Ntungamo District,Rwashamaire Town Council,Rwashamaire HC IV,TASO_Ankole Acholi Region,,Asm9bG03LG3,CSpqU3MIZuC,Ntungamo District,Rwashamaire Town Council,Rwashamaire HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,326,295,31,70,,124,4,62,11,20,6,13,2,4,1,,3,2,4,326,0,102,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,36,1,13,6,11,5,2,2,1,0,0,2,1,0,48,0,88,3,49,5,9,1,11,0,3,1,0,1,1,4,240,0,0,240,0,0,0,0,72,260,328,0,0,0,0,16,18,0,1,0,0,0,0,57,0
South Central,CVoWcUh5ZPP,Wakiso District,Ndejje Division,Joint Clinical Research Center (JCRC) HC IV,IDI_Masaka Wakiso Region,,jf1NK6hc2Ev,CVoWcUh5ZPP,Wakiso District,Ndejje Division,Joint Clinical Research Center (JCRC) HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,16,7,9,,,2,3,2,3,1,1,,1,1,,1,1,,,16,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,11,15,0,0,0,0,0,0,0,0,0,11,0,0,5,0
Bunyoro,CXRfI4pT3bm,Kagadi District,Muhorro Town Council,Muhorro Ngo HC III,UEC,,hsslL86DDXZ,CXRfI4pT3bm,Kagadi District,Muhorro Town Council,Muhorro Ngo HC III,UEC,81974,CDC,Oct-Dec 2024,,,1,0,1,,,,,,1,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,13,0,0,0,0,3,100,0,0,0,0,0,9,7,0,5,0,41,2,0,0,0
Teso,CxzGSxEbecK,Soroti City,Soroti East Division,Kichinjaji HC III,AIC_Soroti Region,,E7v3dL1ZX6G,CxzGSxEbecK,Soroti City,Soroti East Division,Kichinjaji HC III,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,37,18,19,,4,5,3,4,6,2,1,2,1,2,,2,,1,4,37,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,4,4,3,3,5,2,1,2,0,2,0,1,0,1,4,17,0,0,17,0,0,0,0,5,38,37,0,0,0,1,0,16,0,1,0,1,0,0,3,1
Lango,cyWgf6Xmo8Z,Oyam District,Ngai Subcounty,Ngai HC III,JCRC_Kigezi Lango Region,,V4FEMNR8X5o,cyWgf6Xmo8Z,Oyam District,Ngai Subcounty,Ngai HC III,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,65,37,28,5,3,15,7,7,11,5,3,2,2,,,2,2,1,,65,0,26,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,3,3,2,3,1,1,0,0,0,1,0,0,0,1,2,8,4,4,9,2,2,1,2,0,0,1,2,1,0,2,0,0,2,0,0,2,6,60,7,62,0,0,0,0,0,22,0,0,2,0,0,0,3,27
Tooro,d3ugFJbENWb,Kamwenge District,Bigodi Town Council,Bigodi HC III,Baylor Fort Portal_Mubende Region,,OfggWBLl8ft,d3ugFJbENWb,Kamwenge District,Bigodi Town Council,Bigodi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,161,91,70,20,6,39,20,8,21,9,10,7,5,2,3,3,3,3,2,161,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,39,20,8,21,9,10,7,5,2,3,3,3,3,2,81,0,0,81,0,0,0,0,1,160,161,0,0,0,0,10,45,0,0,21,0,4,0,0,0
